"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"CE(16:1(9Z))","CE(16:1(9Z))","HMDB0000658","22833543","C02530","CCCCCC/C=C\CCCCCCCC(=O)OC1CC[C@@]2(C3CC[C@@]4([C@H](CCC4C3CC=C2C1)[C@H](C)CCCC(C)C)C)C","1"
"PC(14:1(9Z)/P-16:0)","PC(14:1(9Z)/P-16:0)","HMDB0007928","53478639","C00157","CCCCCCCCCCCCCC/C=C\OC(COC(=O)CCCCCCC/C=C\CCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PE(15:0/P-18:1(11Z))","PE(15:0/P-18:1(11Z))","HMDB0008918","53479585","C00350","CCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O/C=C\CCCCCCCC/C=C\CCCCCC","1"
"PE(15:0/P-18:1(9Z))","PE(15:0/P-18:1(9Z))","HMDB0008919","53479586","C00350","CCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O/C=C\CCCCCC/C=C\CCCCCCCC","1"
"PC(P-16:0/14:1(9Z))","PC(P-16:0/14:1(9Z))","HMDB0011204","52923876",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCC","1"
"PE(P-18:1(11Z)/15:0)","PE(P-18:1(11Z)/15:0)","HMDB0011403","53480863",NA,"CCCCCCCCCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCC/C=C\CCCCCC)COP(=O)(O)OCCN","1"
"PE(P-18:1(9Z)/15:0)","PE(P-18:1(9Z)/15:0)","HMDB0011436","53480892",NA,"CCCCCCCCCCCCCCC(=O)O[C@H](CO/C=C\CCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCCN","1"
"PC(o-16:1(9Z)/14:1(9Z))","PC(o-16:1(9Z)/14:1(9Z))","HMDB0013410","53481703",NA,"CCCCCC/C=C\CCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCC","1"
"PE(18:3(6Z,9Z,12Z)/P-16:0)","PE(18:3(6Z,9Z,12Z)/P-16:0)","HMDB0009147","53479681","C00350","CCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN","1"
"PE(18:3(9Z,12Z,15Z)/P-16:0)","PE(18:3(9Z,12Z,15Z)/P-16:0)","HMDB0009180","53479693","C00350","CCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCCN","1"
"PE(P-16:0/18:3(6Z,9Z,12Z))","PE(P-16:0/18:3(6Z,9Z,12Z))","HMDB0011344","52925052",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"PE(P-16:0/18:3(9Z,12Z,15Z))","PE(P-16:0/18:3(9Z,12Z,15Z))","HMDB0011345","52925053",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC","1"
"PE(16:1(9Z)/P-18:1(11Z))","PE(16:1(9Z)/P-18:1(11Z))","HMDB0008984","53479607","C00350","CCCCCC/C=C\CCCCCCCC/C=C\O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)(O)OCCN","1"
"PE(16:1(9Z)/P-18:1(9Z))","PE(16:1(9Z)/P-18:1(9Z))","HMDB0008985","53479608","C00350","CCCCCCCC/C=C\CCCCCC/C=C\O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)(O)OCCN","1"
"PE(18:2(9Z,12Z)/P-16:0)","PE(18:2(9Z,12Z)/P-16:0)","HMDB0009114","53479669","C00350","CCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN","1"
"PE(P-16:0/18:2(9Z,12Z))","PE(P-16:0/18:2(9Z,12Z))","HMDB0011343","52925127",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","1"
"PE(P-18:1(11Z)/16:1(9Z))","PE(P-18:1(11Z)/16:1(9Z))","HMDB0011405","53480865",NA,"CCCCCC/C=C\CCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"PE(P-18:1(9Z)/16:1(9Z))","PE(P-18:1(9Z)/16:1(9Z))","HMDB0011438","53480894",NA,"CCCCCCCC/C=C\CCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"PC(15:0/P-16:0)","PC(15:0/P-16:0)","HMDB0007961","53478661","C00157","CCCCCCCCCCCCCC/C=C\OC(COC(=O)CCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PE(16:0/P-18:0)","PE(16:0/P-18:0)","HMDB0008950","53479593","C00350","CCCCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN","1"
"PE(18:0/P-16:0)","PE(18:0/P-16:0)","HMDB0009015","53479614","C00350","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O/C=C\CCCCCCCCCCCCCC","1"
"PE(P-16:0e/18:1(9Z))","PE(P-16:0e/18:1(9Z))","HMDB0011157","42607455",NA,"CCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"PC(P-16:0/15:0)","PC(P-16:0/15:0)","HMDB0011205","52923878",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCC","1"
"PE(P-16:0/18:0)","PE(P-16:0/18:0)","HMDB0011340","52925051",NA,"CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCCCCCCCC)COP(=O)(O)OCCN","1"
"PE(P-18:0/16:0)","PE(P-18:0/16:0)","HMDB0011371","52925073",NA,"CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCC","1"
"DG(20:4(5Z,8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","DG(20:4(5Z,8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","HMDB0007527","9543946",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](CO)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(20:4(8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","DG(20:4(8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","HMDB0007556","53478334",NA,"CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](CO)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)","DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)","HMDB0007583","53478356",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@@H](CO)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","HMDB0007584","9543945",NA,"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@@H](CO)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","DG(22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","HMDB0007723","53478476",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](CO)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
