ionIdx,ionMz,average intensity,mz difference,id,score,formula,ion,name
35,99.04403889,6850.984742,0.001110609,HMDB01862,90,C5H8O2,-H(+),2-Ethylacrylic acid
35,99.04403889,6850.984742,0.001110609,HMDB02167,90,C5H8O2,-H(+),3-Methylbutyrolactone
36,99.0813624,2583.286881,0.000172603,HMDB00753,100,C6H12O,-H(+),3-Hexanone
36,99.0813624,2583.286881,0.000172603,HMDB01318,100,C6H12O,-H(+),4-Methylpentanal
36,99.0813624,2583.286881,0.000172603,HMDB02939,100,C6H12O,-H(+),Methyl isobutyl ketone
36,99.0813624,2583.286881,0.000172603,HMDB05842,100,C6H12O,-H(+),2-Oxohexane
36,99.0813624,2583.286881,0.000172603,HMDB05846,100,C6H12O,-H(+),Ethyl isopropyl ketone
36,99.0813624,2583.286881,0.000172603,HMDB05994,100,C6H12O,-H(+),Hexanal
37,101.0241943,14376.50767,0.000219738,HMDB00005,100,C4H6O3,-H(+),2-Ketobutyric acid
37,101.0241943,14376.50767,0.000219738,HMDB00060,100,C4H6O3,-H(+),Acetoacetic acid
37,101.0241943,14376.50767,0.000219738,HMDB01172,100,C4H6O3,-H(+),2-Methyl-3-oxopropanoic acid
37,101.0241943,14376.50767,0.000219738,HMDB01259,100,C4H6O3,-H(+),Succinic acid semialdehyde
37,101.0241943,14376.50767,0.000219738,HMDB02217,100,C4H6O3,-H(+),(S)-Methylmalonic acid semialdehyde
37,101.0241943,14376.50767,0.000219738,HMDB03381,100,C4H6O3,-H(+),4-Hydroxycrotonic acid
38,101.0604837,12270.39076,0.000315904,HMDB00718,100,C5H10O2,-H(+),Isovaleric acid
38,101.0604837,12270.39076,0.000315904,HMDB00892,100,C5H10O2,-H(+),Valeric acid
38,101.0604837,12270.39076,0.000315904,HMDB02176,100,C5H10O2,-H(+),Ethylmethylacetic acid
39,102.0557863,240059.1213,0.000262205,HMDB00092,100,C4H9NO2,-H(+),Dimethylglycine
39,102.0557863,240059.1213,0.000262205,HMDB00112,100,C4H9NO2,-H(+),Gamma-Aminobutyric acid
39,102.0557863,240059.1213,0.000262205,HMDB00452,100,C4H9NO2,-H(+),L-Alpha-aminobutyric acid
39,102.0557863,240059.1213,0.000262205,HMDB00650,100,C4H9NO2,-H(+),D-Alpha-aminobutyric acid
