,ionIdx,ionMz,average intensity,mz difference,score,formula,ion,name,Query,KEGG
56,30,92.98446104,1435.045055,-0.000648848,100,C2H6S2,-H(+),Dimethyldisulfide,HMDB05879,C08371
57,31,93.00070891,3669.501571,0.00086152,100,C2H6O2S,-H(+),Dimethyl sulfone,HMDB04983,C11142
58,32,95.04987508,2626.666996,0.000454412,40,C3H8O2,+F(-),Propylene glycol,HMDB01881,C02912
59,32,95.04987508,2626.666996,0.000454412,40,C3H8O2,+F(-),"(S)-Propane-1,2-diol",HMDB06213,C02917
60,33,96.96917239,210600.1564,0.000442813,100,H3O4P,-H(+),Phosphoric acid,HMDB02142,C00009
61,34,97.06535992,3939.976291,0.000525025,100,C6H10O,-H(+),Cyclohexanone,HMDB03315,C00414
62,35,99.04403889,6850.984742,0.001110609,90,C5H8O2,-H(+),Senecioic acid,HMDB00509,
63,35,99.04403889,6850.984742,0.001110609,90,C5H8O2,-H(+),Tiglic acid,HMDB01470,C08279
64,35,99.04403889,6850.984742,0.001110609,90,C5H8O2,-H(+),2-Ethylacrylic acid,HMDB01862,
65,35,99.04403889,6850.984742,0.001110609,90,C5H8O2,-H(+),3-Methylbutyrolactone,HMDB02167,
66,36,99.0813624,2583.286881,0.000172603,100,C6H12O,-H(+),3-Hexanone,HMDB00753,
67,36,99.0813624,2583.286881,0.000172603,100,C6H12O,-H(+),4-Methylpentanal,HMDB01318,C02373
68,36,99.0813624,2583.286881,0.000172603,100,C6H12O,-H(+),Methyl isobutyl ketone,HMDB02939,C19263
69,36,99.0813624,2583.286881,0.000172603,100,C6H12O,-H(+),2-Oxohexane,HMDB05842,
70,36,99.0813624,2583.286881,0.000172603,100,C6H12O,-H(+),Ethyl isopropyl ketone,HMDB05846,
71,36,99.0813624,2583.286881,0.000172603,100,C6H12O,-H(+),Hexanal,HMDB05994,C02373
72,37,101.0241943,14376.50767,0.000219738,100,C4H6O3,-H(+),2-Ketobutyric acid,HMDB00005,C00109
73,37,101.0241943,14376.50767,0.000219738,100,C4H6O3,-H(+),Acetoacetic acid,HMDB00060,C00164
74,37,101.0241943,14376.50767,0.000219738,100,C4H6O3,-H(+),2-Methyl-3-oxopropanoic acid,HMDB01172,C00349
75,37,101.0241943,14376.50767,0.000219738,100,C4H6O3,-H(+),Succinic acid semialdehyde,HMDB01259,C00232
76,37,101.0241943,14376.50767,0.000219738,100,C4H6O3,-H(+),(S)-Methylmalonic acid semialdehyde,HMDB02217,C06002
77,37,101.0241943,14376.50767,0.000219738,100,C4H6O3,-H(+),4-Hydroxycrotonic acid,HMDB03381,
78,38,101.0604837,12270.39076,0.000315904,100,C5H10O2,-H(+),Isovaleric acid,HMDB00718,C08262
79,38,101.0604837,12270.39076,0.000315904,100,C5H10O2,-H(+),Valeric acid,HMDB00892,C00803
80,38,101.0604837,12270.39076,0.000315904,100,C5H10O2,-H(+),Ethylmethylacetic acid,HMDB02176,C18319
81,39,102.0557863,240059.1213,0.000262205,100,C4H9NO2,-H(+),Dimethylglycine,HMDB00092,C01026
82,39,102.0557863,240059.1213,0.000262205,100,C4H9NO2,-H(+),Gamma-Aminobutyric acid,HMDB00112,C00334
83,39,102.0557863,240059.1213,0.000262205,100,C4H9NO2,-H(+),L-Alpha-aminobutyric acid,HMDB00452,C02356
84,39,102.0557863,240059.1213,0.000262205,100,C4H9NO2,-H(+),D-Alpha-aminobutyric acid,HMDB00650,C02261
85,39,102.0557863,240059.1213,0.000262205,100,C4H9NO2,-H(+),2-Aminoisobutyric acid,HMDB01906,C03665
86,39,102.0557863,240059.1213,0.000262205,100,C4H9NO2,-H(+),(S)-b-aminoisobutyric acid,HMDB02166,C03284
87,39,102.0557863,240059.1213,0.000262205,100,C4H9NO2,-H(+),(R)-b-aminoisobutyric acid,HMDB02299,C01205
88,39,102.0557863,240059.1213,0.000262205,100,C4H9NO2,-H(+),3-Aminoisobutanoic acid,HMDB03911,C05145
89,40,103.0397398,3686.724438,0.000324295,100,C4H8O3,-H(+),2-Hydroxybutyric acid,HMDB00008,C05984
90,40,103.0397398,3686.724438,0.000324295,100,C4H8O3,-H(+),(R)-3-Hydroxybutyric acid,HMDB00011,C01089
91,40,103.0397398,3686.724438,0.000324295,100,C4H8O3,-H(+),(S)-3-Hydroxyisobutyric acid,HMDB00023,C06001
92,40,103.0397398,3686.724438,0.000324295,100,C4H8O3,-H(+),(R)-3-Hydroxyisobutyric acid,HMDB00336,
93,40,103.0397398,3686.724438,0.000324295,100,C4H8O3,-H(+),3-Hydroxybutyric acid,HMDB00357,C01089
94,40,103.0397398,3686.724438,0.000324295,100,C4H8O3,-H(+),(S)-3-Hydroxybutyric acid,HMDB00442,C03197
95,40,103.0397398,3686.724438,0.000324295,100,C4H8O3,-H(+),4-Hydroxybutyric acid,HMDB00710,C01991
