"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB03315","Cyclohexanone","HMDB0003315","7967","17854","C00414",NA,"O=C1CCCCC1","1"
"HMDB00509","Senecioic acid","HMDB0000509","10931","37127",NA,"5495","CC(=CC(=O)O)C","1"
"HMDB01470","Tiglic acid","HMDB0001470","125468","9592","C08279","6261","C/C=C(\C)/C(=O)O","1"
"HMDB01862","2-Ethylacrylic acid","HMDB0001862","19166","84978",NA,"4141","CCC(=C)C(=O)O","1"
"HMDB02167","3-Methylbutyrolactone","HMDB0002167","98451",NA,NA,"6521","CC1COC(=O)C1","1"
"HMDB00753","Hexan-3-one","HMDB0000753","11509","89891",NA,"5721","CCCC(=O)CC","1"
"HMDB01318","4-Methylpentanal","HMDB0001318","129","17998","C02373","6155","CC(C)CCC=O","1"
"HMDB02939","Methyl isobutyl ketone","HMDB0002939","7909","82344","C19263",NA,"CC(C)CC(=O)C","1"
"HMDB05842","Hexan-2-one","HMDB0005842","11583","89206",NA,NA,"CCCCC(C)=O","1"
"HMDB05846","Ethyl isopropyl ketone","HMDB0005846","11265",NA,NA,NA,"CCC(=O)C(C)C","1"
"HMDB05994","Hexanal","HMDB0005994","6184","88528","C02373",NA,"CCCCCC=O","1"
"HMDB00005","3-methyl pyruvic acid","HMDB0000005","58","30831","C00109",NA,"CCC(=O)C(=O)O","1"
"HMDB00060","Acetoacetic acid","HMDB0000060","96","15344","C00164","276","CC(=O)CC(=O)O","1"
"HMDB01172","2-Methyl-3-oxopropanoic acid","HMDB0001172","296","16256","C00349","6053","CC(C=O)C(=O)O","1"
"HMDB01259","Succinic acid semialdehyde","HMDB0001259","1112","16265","C00232","6114","C(CC(=O)O)C=O","1"
"HMDB02217","(S)-Methylmalonic acid semialdehyde","HMDB0002217","5462303","27821","C06002","6553","C[C@@H](C=O)C(=O)O","1"
"HMDB03381","4-Hydroxycrotonic acid","HMDB0003381","6155526","553775",NA,NA,"C(/C=C/C(=O)O)O","1"
"HMDB00718","Isovaleric acid","HMDB0000718","10430","28484","C08262","109","CC(C)CC(=O)O","1"
"HMDB00892","Valeric acid","HMDB0000892","7991","17418","C00803","110","CCCCC(=O)O","1"
"HMDB02176","Ethylmethylacetic acid","HMDB0002176","8314","37070","C18319","6528","CCC(C)C(=O)O","1"
"HMDB00092","Dimethylglycine","HMDB0000092","673","17724","C01026","277","CN(C)CC(O)=O","1"
"HMDB00112","Gamma-Aminobutyric acid","HMDB0000112","223130","16865","C00334",NA,"NCCCC(=O)O","1"
"HMDB00452","L-Alpha-aminobutyric acid","HMDB0000452","80283","35619","C02356","12","CC[C@@H](C(=O)O)N","1"
"HMDB00650","D-Alpha-aminobutyric acid","HMDB0000650","439691","28797","C02261",NA,"CC[C@H](C(=O)O)N","1"
"HMDB01906","2-Aminoisobutyric acid","HMDB0001906","6119","27971","C03665","37","CC(C)(N)C(=O)O","1"
"HMDB02166","(S)-b-aminoisobutyric acid","HMDB0002166","439434","33094","C03284","6520","C[C@@H](CN)C(=O)O","1"
"HMDB02299","(R)-b-aminoisobutyric acid","HMDB0002299","5459822","16320","C01205","6599","C[C@H](CN)C(=O)O","1"
"HMDB03911","3-Aminoisobutanoic acid","HMDB0003911","64956","27389","C05145","5472","CC(CN)C(=O)O","1"
"HMDB00008","2S-Hydroxybutanoic acid","HMDB00008","440864","50613","C05984",NA,"CC(O)C(=O)O","1"
"HMDB00011","3R-hydroxy-butanoic acid","HMDB0000011","92135","17066","C01089",NA,"C[C@H](CC(=O)O)O","1"
"HMDB00023","(S)-3-Hydroxyisobutyric acid","HMDB0000023","440873","37373","C06001","483","C[C@@H](CO)C(O)=O","1"
"HMDB00336","3R-hydroxy-isobutyric acid","HMDB0000336","11217234",NA,NA,NA,"C[C@H](CO)C(=O)O","1"
"HMDB00357","D(-)-beta-hydroxy butyric acid","HMDB0000357","441","20067","C01089","125","CC(O)CC(=O)O","1"
"HMDB00442","(S)-3-Hydroxybutyric acid","HMDB0000442","94318","17290","C03197",NA,"C[C@@H](CC(=O)O)O","1"
"HMDB00710","4-Hydroxybutyric acid","HMDB0000710","10413","30830","C01991","5678","C(CC(=O)O)CO","1"
"HMDB00729","Alpha-Hydroxyisobutyric acid","HMDB0000729","11671","50129",NA,"3750","CC(C)(O)C(=O)O","1"
"HMDB00187","L-Serine","HMDB0000187","5951","17115","C00065","5203","N[C@@H](CO)C(O)=O","1"
"HMDB03406","D-Serine","HMDB0003406","71077","16523","C00740","6920","N[C@H](CO)C(O)=O","1"
"HMDB00139","Glyceric acid","HMDB0000139","439194","32398","C00258","280","OC[C@@H](O)C(O)=O","1"
"HMDB06372","L-Glyceric acid","HMDB0006372","6326776","74324",NA,NA,"OC[C@H](O)C(O)=O","1"
"HMDB01858","p-Cresol","HMDB0001858","2879","17847","C01468","4236","CC1=CC=C(O)C=C1","1"
"HMDB02048","m-Cresol","HMDB0002048","342","17231","C01467",NA,"CC1=CC(O)=CC=C1","1"
"HMDB02055","o-Cresol","HMDB0002055","335","28054","C01542",NA,"CC1=CC=CC=C1O","1"
"HMDB03119","Benzyl alcohol","HMDB0003119","244","17987","C03485",NA,"OCC1=CC=CC=C1","1"
"HMDB00965","Hypotaurine","HMDB0000965","107812","16668","C00519","281","NCCS(O)=O","1"
"HMDB01169","4-Aminophenol","HMDB0001169","403","17602","C02372","6051","NC1=CC=C(O)C=C1","1"
"HMDB00957","Pyrocatechol","HMDB0000957","289","18135","C15571","282","OC1=CC=CC=C1O","1"
"HMDB02434","Hydroquinone","HMDB0002434","785","17594","C00530","6681","OC1=CC=C(O)C=C1","1"
"HMDB03905","Imidazole-4-acetaldehyde","HMDB0003905","150841","27398","C05130",NA,"O=CCC1=CN=CN1","1"
"HMDB03156","2,3-Butanediol","HMDB0003156","262","62064","C00265","104","CC(O)C(C)O","1"
"HMDB04230","Pyrrole-2-carboxylic acid","HMDB0004230","12473","36751","C05942","3787","OC(=O)C1=CC=CN1","1"
"HMDB00870","Histamine","HMDB0000870","774","18295","C00388","68","NCCC1=CNC=N1","1"
"HMDB00444","3-Furoic acid","HMDB0000444","10268","30846",NA,"5433","OC(=O)C1=COC=C1","1"
"HMDB00617","2-Furoic acid","HMDB0000617","6919","30845","C01546","2266","OC(=O)C1=CC=CO1","1"
"HMDB00300","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"HMDB01164","trans-1,2-Dihydrobenzene-1,2-diol","HMDB0001164","149186","10702","C04221","6046","O[C@@H]1C=CC=C[C@H]1O","1"
"HMDB01301","(S)-1-Pyrroline-5-carboxylate","HMDB0001301","1196","1372","C03912","6145","OC(=O)C1CCC=N1","1"
"HMDB06875","1-Pyrroline-2-carboxylic acid","HMDB0006875","440046","36761","C03564",NA,"OC(=O)C1=NCCC1","1"
"HMDB00562","Creatinine","HMDB0000562","588","16737","C00791","8","CN1CC(=O)NC1=N","1"
"HMDB00076","Dihydrouracil","HMDB0000076","649","15901","C00429","285","O=C1CCNC(=O)N1","1"
"HMDB03646","N-Methylhydantoin","HMDB0003646","69217","16354","C02565",NA,"CN1CC(=O)NC1=O","1"
"HMDB00453","Delta-Hexanolactone","HMDB0000453","13204","589927",NA,"5442","CC1CCCC(=O)O1","1"
"HMDB03843","Gamma-Caprolactone","HMDB0003843","12756","85235",NA,NA,"CCC1CCC(=O)O1","1"
"HMDB10719","trans-Hex-2-enoic acid","HMDB0010719","5282707","87721",NA,NA,"CCC/C=C/C(=O)O","1"
"HMDB00162","L-Proline","HMDB0000162","145742","17203","C00148","29","OC(=O)[C@@H]1CCCN1","1"
"HMDB03411","D-Proline","HMDB0003411","8988","16313","C00763",NA,"OC(=O)[C@H]1CCCN1","1"
"HMDB12880","Acetamidopropanal","HMDB0012880","5460495","30322","C18170",NA,"CC(=O)NCCC=O","1"
"HMDB00134","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","OC(=O)\C=C\C(O)=O","1"
"HMDB00176","Maleic acid","HMDB0000176","444266","18300","C01384","4198","OC(=O)\C=C/C(O)=O","1"
"HMDB00019","Alpha-ketoisovaleric acid","HMDB0000019","49","16530","C00141","5091","CC(C)C(=O)C(=O)O","1"
"HMDB00310","Methylacetoacetic acid","HMDB0000310","7757",NA,NA,"5299","COC(=O)CC(C)=O","1"
"HMDB00720","Levulinic acid","HMDB0000720","11579","45630",NA,"2195","CC(=O)CCC(=O)O","1"
"HMDB01865","2-Oxovaleric acid","HMDB0001865","74563","33033","C06255",NA,"CCCC(=O)C(=O)O","1"
"HMDB03771","2methyl-3-ketovaleric acid","HMDB0003771","150996","37079",NA,NA,"CC(C(=O)C)C(=O)O","1"
"HMDB12233","Glutarate semialdehyde","HMDB0012233","439963","39153","C03273",NA,"C(CC=O)CC(=O)O","1"
"HMDB00535","Caproic acid","HMDB0000535","8892","30776","C01585","5520","CCCCCC(=O)O","1"
"HMDB00689","Isocaproic acid","HMDB0000689","12587","74903",NA,"4191","CC(C)CCC(=O)O","1"
"HMDB02287","L-Homocysteine thiolactone","HMDB0002287","134505",NA,NA,"6594","NC1CCSC1=O","1"
"HMDB00532","Acetylglycine","HMDB0000532","10972","40410",NA,"5517","CC(=O)NCC(O)=O","1"
"HMDB06454","L-2-Amino-3-oxobutanoic acid","HMDB0006454","440033","40673","C03508",NA,"CC(=O)[C@@H](C(=O)O)N","1"
"HMDB12249","L-Aspartate-semialdehyde","HMDB0012249","439235","18051","C00441",NA,"N[C@@H](CC=O)C(O)=O","1"
"HMDB00043","Betaine","HMDB0000043","247","17750","C00719","287","C[N+](C)(C)CC([O-])=O","1"
"HMDB00883","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"HMDB01382","Vaporole","HMDB0001382","8053","2691","C07457",NA,"CC(C)CCON=O","1"
"HMDB02141","N-Methyl-alpha-aminoisobutyric acid","HMDB0002141","75725","134261",NA,"6508","CNC(C)(C)C(O)=O","1"
"HMDB03355","5-Aminopentanoic acid","HMDB0003355","138","15887","C00431","6902","NCCCCC(=O)O","1"
"HMDB00202","Methylmalonic acid","HMDB0000202","487","30860","C02170","3712","CC(C(=O)O)C(=O)O","1"
"HMDB00254","Succinic acid","HMDB0000254","1110","15741","C00042","114","O=C(O)CCC(=O)O","1"
"HMDB00349","Erythrono-1,4-lactone","HMDB0000349","5325915","87625",NA,"5338","O[C@@H]1COC(=O)[C@@H]1O","1"
"HMDB00940","Threonolactone","HMDB0000940","2724794","71176",NA,"5888","O[C@H]1COC(=O)[C@@H]1O","1"
"HMDB00351","3-hydroxy-2-methyl--butanoic acid","HMDB00351","11815846",NA,NA,NA,"C(O)(C)C(=O)O","1"
"HMDB00354","2-Methyl-3-hydroxybutyric acid","HMDB0000354","160471","37051",NA,"3786","CC(C(C)O)C(=O)O","1"
"HMDB00396","2-Ethylhydracrylic acid","HMDB0000396","188979","741550",NA,"3785","CCC(CO)C(=O)O","1"
"HMDB00407","2-hydroxy-3-methyl-butyric acid","HMDB00407","853180","60631",NA,NA,"CC(C)(O)C(=O)O","1"
"HMDB00410","3-Hydroxy-2-methyl-[S-(R,R)]-butanoic acid","HMDB0000410","12313369",NA,NA,"5399","C[C@H]([C@@H](C)O)C(=O)O","1"
"HMDB00531","3-Hydroxyvaleric acid","HMDB0000531","107802","139272",NA,"5516","CCC(CC(=O)O)O","1"
"HMDB00642","Erythronilic acid","HMDB0000642","12313370",NA,NA,"5615","C[C@H]([C@H](C)O)C(=O)O","1"
"HMDB00754","3-Hydroxyisovaleric acid","HMDB0000754","69362","37084","C20827","5722","CC(C)(CC(=O)O)O","1"
"HMDB01863","2-Hydroxyvaleric acid","HMDB0001863","98009","60647",NA,NA,"CCCC(C(=O)O)O","1"
"HMDB01987","2-Hydroxy-2-methylbutyric acid","HMDB0001987","95433","68454",NA,"6416","CCC(C)(C(=O)O)O","1"
"HMDB02011","4-Hydroxyisovaleric acid","HMDB0002011","131760","384411",NA,"6434","CC(CC(=O)O)CO","1"
"HMDB00167","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"HMDB00719","L-Homoserine","HMDB0000719","12647","15699","C00263","5687","N[C@@H](CCO)C(O)=O","1"
"HMDB04041","L-Allothreonine","HMDB0004041","99289","28718","C05519","7007","C[C@H](O)[C@H](N)C(O)=O","1"
"HMDB00337","3S,4-dihydroxy-butyric acid","HMDB00337","10920498","137814",NA,NA,"O=C(O)C(O)CO","1"
"HMDB00360","2,4-Dihydroxybutanoic acid","HMDB0000360","192742","86348",NA,"5349","O=C(O)C(O)CCO","1"
