"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB04685","13,14-Dihydro-15-keto PGF2a","HMDB0004685","5283039","63976",NA,NA,"CCCCCC(=O)CC[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O","1"
"HMDB04686","8-Isoprostaglandin E1","HMDB0004686","5283212",NA,NA,NA,"CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@H]1CCCCCCC(=O)O)O)O","1"
"HMDB04694","11,14,15-THETA","HMDB0004694","11954059",NA,"C14814",NA,"CCCCCC(C(/C=C/C(C/C=C\C/C=C\CCCC(=O)O)O)O)O","1"
"HMDB05083","8-Isoprostaglandin F2a","HMDB0005083","5282263","34505","C13809",NA,"CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@H]1C/C=C\CCCC(=O)O)O)O)O","1"
"HMDB05102","Prostaglandin D1","HMDB0005102","5280936","27696","C06438",NA,"CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC1=O)O)CCCCCCC(=O)O)O","1"
"HMDB06562","8-iso-13,14-dihydro-15-keto-PGF2a","HMDB0006562","5283214",NA,NA,NA,"CCCCCC(=O)CC[C@H]1[C@@H](C[C@@H]([C@H]1C/C=C\CCCC(=O)O)O)O","1"
"HMDB10170","11,12,15-TriHETRE","HMDB0010170","53480356",NA,NA,NA,"CCCCCC(/C=C/C(=C(\C/C=C/CCCCCCC(=O)O)/O)/O)O","1"
"HMDB10199","11b-PGF2a","HMDB0010199","5280886","27595","C05959",NA,"CCCCC[C@@H](/C=C/[C@H]1[C@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O)O","1"
"HMDB11137","11-Epi-PGF2a","HMDB0011137","53480669","27595","C05959",NA,"CCCCC[C@@H](/C=C/[C@H]1[C@H](CC(C1C/C=C\CCCC(=O)O)O)O)O","1"
"HMDB11538","MG(0:0/18:2(9Z,12Z)/0:0)","HMDB0011538","5365676",NA,NA,NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC(CO)CO","1"
"HMDB11568","MG(18:2(9Z,12Z)/0:0/0:0)","HMDB0011568","6436630","416096",NA,NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO)O","1"
"HMDB01160","Tricosanoic acid","HMDB0001160","17085","42394",NA,"4211","CCCCCCCCCCCCCCCCCCCCCCC(=O)O","1"
"HMDB06824","Dihydroneopterin phosphate","HMDB0006824","24771767","48954","C05925",NA,"NC1=NC2=C(N=C(CN2)[C@H](O)[C@H](O)COP(O)(O)=O)C(=O)N1","1"
"HMDB12498","10,11-dihydro-12-oxo-LTB4","HMDB0012498","53481445",NA,NA,NA,"CCCCC/C=C\CC(=O)CC/C=C/C=C\[C@@H](CCCC(=O)O)O","1"
"HMDB12839","6,7-dihydro-5-oxo-12-epi-LTB4","HMDB0012839","53481528",NA,NA,NA,"CCCCC/C=C\C[C@H](/C=C/C=C/CCC(=O)CCCC(=O)O)O","1"
"HMDB13303","Pristanoylglycine","HMDB0013303","53481664",NA,NA,NA,"CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)NCC(=O)O","1"
"HMDB02685","Prostaglandin F1a","HMDB0002685","5280939","28852","C06475","3503","CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1CCCCCCC(=O)O)O)O)O","1"
"HMDB02689","13,14-Dihydro PGE1","HMDB0002689","161273","1000694",NA,NA,"CCCCC[C@@H](CC[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O","1"
"HMDB04239","13,14-Dihydro PGF2a","HMDB0004239","6434009",NA,NA,NA,"CCCCCC(CCC1C(CC(C1C/C=C/CCCC(=O)O)O)O)O","1"
"HMDB02007","Tetracosahexaenoic acid","HMDB0002007","11792612","77366",NA,"6430","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O","1"
"HMDB11536","MG(0:0/18:1(11Z)/0:0)","HMDB0011536","53480961",NA,NA,NA,"CCCCCC/C=C\CCCCCCCCCC(=O)OC(CO)CO","1"
"HMDB11537","MG(0:0/18:1(9Z)/0:0)","HMDB0011537","5319879","73990",NA,NA,"CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO","1"
"HMDB11566","MG(18:1(11Z)/0:0/0:0)","HMDB0011566","53480977",NA,NA,NA,"CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](CO)O","1"
"HMDB11567","MG(18:1(9Z)/0:0/0:0)","HMDB0011567","12178130",NA,NA,NA,"CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)O","1"
"HMDB02835","Danazol","HMDB0002835","28417","4315","C06938",NA,"C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5","1"
"HMDB01416","Pantetheine 4'-phosphate","HMDB0001416","987","16858","C01134",NA,"CC(C)(COP(O)(O)=O)C(O)C(=O)NCCC(=O)NCCS","1"
"HMDB01069","2-Phenylaminoadenosine","HMDB0001069","1585","91804",NA,"5981","NC1=C2N=CN(C3OC(CO)C(O)C3O)C2=NC(NC2=CC=CC=C2)=N1","1"
"HMDB06322","Tetracosapentaenoic acid (24:5n-6)","HMDB0006322","14505435","77527",NA,NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O","1"
"HMDB06323","Tetracosapentaenoic acid (24:5n-3)","HMDB0006323","52921801","77360",NA,NA,"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O","1"
"HMDB10362","6-Hydroxy-5-methoxyindole glucuronide","HMDB0010362","196513",NA,"C03033",NA,"COC1=C(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)C=C2NC=CC2=C1","1"
"HMDB10363","5-Hydroxy-6-methoxyindole glucuronide","HMDB0010363","196512",NA,"C03033",NA,"COC1=C(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)C=C2C=CNC2=C1","1"
"HMDB05034","Topiramate","HMDB0005034","5284627","63631","C07502",NA,"[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2","1"
"HMDB12613","19-Oic-deoxycorticosterone","HMDB0012613","53481498",NA,NA,NA,"C[C@]12CCC3C(C1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C(=O)O","1"
"HMDB03572","Rosmarinic acid","HMDB0003572","5281792","50371","C01850","6960","OC(=O)[C@@H](CC1=CC(O)=C(O)C=C1)OC(=O)\C=C\C1=CC(O)=C(O)C=C1","1"
"HMDB06045","Dityrosine","HMDB0006045","53477799",NA,NA,NA,"NC(CC1=CC(O)=C(C=C1)C1=CC=C(CC(N)C(O)=O)C=C1O)C(O)=O","1"
"HMDB03689","Neuroprotectin D1","HMDB0003689","16042541","138655",NA,NA,"CC/C=C\C[C@@H](/C=C\C=C\C=C\[C@@H](C/C=C\C/C=C\CCC(=O)O)O)O","1"
"HMDB04038","Resolvin D5","HMDB0004038","16061139","138645",NA,NA,"CC/C=C\C[C@@H](/C=C/C=C\C/C=C\C=C\[C@H](/C=C\CCCC(=O)O)O)O","1"
"HMDB06246","tetracosatetraenoic acid n-6","HMDB06246","6440264",NA,NA,NA,"CCCCCCCCCCCCCCC/C=C/C=C/C=C/C=C/C(=O)O","1"
"HMDB06591","Lactosamine","HMDB0006591","119065","25001","C00203","3675","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)N)O)O)O)O)O","1"
"HMDB11668","6-(alpha-D-Glucosaminyl)-1D-myo-inositol","HMDB0011668",NA,"44230","C15658",NA,"N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O","1"
"HMDB05096","N-Arachidonoyl glycine","HMDB0005096","5283389","58961",NA,NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O","1"
"HMDB12550","12-Oxo-20-carboxy-leukotriene B4","HMDB0012550","53481457",NA,NA,NA,"C(CCC(=O)O)C/C=C\CC(=O)/C=C/C=C/C=C\[C@@H](CCCC(=O)O)O","1"
"HMDB00063","Cortisol","HMDB0000063","657311",NA,"C00735","5124","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@]4(C(=O)CO)O)C)O","1"
"HMDB00319","18-Hydroxycorticosterone","HMDB0000319","11222","16485","C01124","5308","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)CO)O","1"
"HMDB06758","17a,21-Dihydroxy-5b-pregnane-3,11,20-trione","HMDB0006758","65554","18093","C05469",NA,"C[C@]12CCC(=O)C[C@H]1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C","1"
"HMDB10214","19,20-DiHDPA","HMDB0010214","16061148","72657",NA,NA,"CCC(C(C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O)O)O","1"
"HMDB12549","12-oxo-10,11-dihydro-20-COOH-LTB4","HMDB0012549","53481456",NA,NA,NA,"C(CCC(=O)O)C/C=C\CC(=O)CC/C=C/C=C\[C@@H](CCCC(=O)O)O","1"
"HMDB00903","Tetrahydrocortisone","HMDB0000903","5866",NA,NA,"1915","C[C@]12CC[C@@H](C[C@@H]1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O","1"
"HMDB03259","Dihydrocortisol","HMDB0003259","164838","732","C05471","3173","C[C@]12CCC(=O)C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O","1"
"HMDB06753","3a,11b,21-Trihydroxy-20-oxo-5b-pregnan-18-al","HMDB0006753","44263346",NA,"C05474",NA,"CC12CC[C@H](CC1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O)O","1"
"HMDB06754","11b,21-Dihydroxy-3,20-oxo-5b-pregnan-18-al","HMDB0006754","53477896",NA,"C05473",NA,"C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2C(CC4([C@H]3CCC4C(=O)CO)C=O)O)O","1"
"HMDB06760","11b,17a,21-Trihydroxypreg-nenolone","HMDB0006760","440708",NA,"C05489",NA,"CC12CCC(CC1=CCC3C2C(CC4(C3CC[C@@]4(C(=O)CO)O)C)O)O","1"
"HMDB12460","PS(18:3(6Z,9Z,12Z)/22:0)","HMDB0112460","52925502",NA,NA,NA,"CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC(COP(=O)(O)OC(N)C(=O)O)OC(=O)CCCCCCCCCCCCCCCCCCCCC","1"
"HMDB13157","18-Hydroxy-11-dehydrotetrahydrocorticosterone","HMDB0013157","53481635",NA,NA,NA,"C[C@]12CC[C@H](CC1CCC3C2C(=O)C[C@]4(C3CC[C@@H]4C(=O)CO)CO)O","1"
"HMDB01939","Medroxyprogesterone","HMDB0001939","6279","6715","C07119","1094","C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)O)C)[C@@]4(C1=CC(=O)CC4)C","1"
"HMDB10213","17S-HDHA","HMDB10213","11046191","138640",NA,NA,"CC/C=C\C(O)/C=C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1"
"HMDB13620","19(20)-EpDPE","HMDB0013620","11631565","72653",NA,NA,"CCC1C(O1)C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1"
"HMDB13621","16(17)-EpDPE","HMDB0013621","14392758","72855",NA,NA,"CC/C=C\CC1C(O1)C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1"
"HMDB01439","Phosphoribosyl formamidocarboxamide","HMDB0001439","166760","18381","C04734","6247","NC(=O)C1=C(NC=O)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"HMDB13118","Xanthurenate-8-O-beta-D-glucoside","HMDB0013118","53481609",NA,NA,NA,"OC[C@H]1O[C@@H](OC2=C3N=C(C=C(O)C3=CC=C2)C(O)=O)[C@@H](O)[C@@H](O)[C@H]1O","1"
"HMDB06059","20-Carboxy-leukotriene B4","HMDB0006059","5280877","27562","C05950",NA,"C(CCC(=O)O)C/C=C\C[C@H](/C=C/C=C/C=C\[C@H](CCCC(=O)O)O)O","1"
"HMDB12633","20-COOH-10,11-dihydro-LTB4","HMDB0012633","53481507",NA,NA,NA,"C(CCC(=O)O)C/C=C\C[C@@H](CC/C=C/C=C\[C@@H](CCCC(=O)O)O)O","1"
"HMDB00015","Cortexolone","HMDB0000015","53477676","28324","C05488","5088","C12CC3(CCC4=CC(=O)CC43C)1CC2(O)C(=O)CO","1"
"HMDB01547","Corticosterone","HMDB0001547","5753","16827","C02140","6314","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O","1"
"HMDB04030","21-Deoxycortisol","HMDB0004030","222803",NA,"C05497","7004","CC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O","1"
"HMDB06756","21-Hydroxy-5b-pregnane-3,11,20-trione","HMDB0006756","44263345","88767","C05480",NA,"C[C@]12CCC(=O)C[C@H]1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CCC4C(=O)CO)C","1"
"HMDB12612","19-Hydroxydeoxycorticosterone","HMDB0012612","53481497",NA,NA,NA,"C[C@]12CCC3C(C1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34CO","1"
"HMDB00314","3beta-Allotetrahydrocortisol","HMDB00314","44263335",NA,NA,NA,"C12CC(O)C1CCC12(O)C2(C)1CC2(O)C(=O)CO","1"
"HMDB00526","5a-Tetrahydrocortisol","HMDB0000526","92748","89627",NA,"5511","C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O)O","1"
"HMDB00949","Tetrahydrocortisol","HMDB0000949","44725717",NA,"C05465","1914","C[C@]12CC[C@H](CC1CCC3C2[C@H](C[C@]4(C3CC[C@@]4(C(=O)CO)O)C)O)O","1"
"HMDB03128","Cortolone","HMDB0003128","160499","3899","C05481","3175","C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4([C@H](CO)O)O)C)O","1"
"HMDB13221","Beta-Cortolone","HMDB0013221","53481657",NA,"C05481",NA,"C[C@]12CC[C@@H](CC1CCC3C2C(=O)C[C@]4(C3CC[C@]4(C(CO)O)O)C)O","1"
"HMDB02368","Nervonic acid","HMDB0002368","5281120","44247","C08323","262","CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O","1"
"HMDB00218","Orotidylic acid","HMDB0000218","160617","15842","C01103","5228","O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O","1"
"HMDB12152","2-O-(6-Phospho-alpha-mannosyl)-D-glycerate","HMDB0012152","24892815","61001","C16699",NA,"OC[C@@H](O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O)C(O)=O","1"
"HMDB02269","Curcumin","HMDB0002269","969516","3962","C10443",NA,"COC1=CC(\C=C\C(=O)CC(=O)\C=C\C2=CC(OC)=C(O)C=C2)=CC=C1O","1"
"HMDB01908","19-Hydroxy-PGE2","HMDB0001908","5283038",NA,NA,NA,"C[C@H](CCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O)O","1"
"HMDB01979","13,14-dihydro-6,15-diketo-PGF1alpha","HMDB01979","174013",NA,NA,NA,"CCCCCC(=O)CC1(O)C(O)1CC(=O)CCCCC(=O)O","1"
"HMDB03235","Prostaglandin G2","HMDB0003235","5280883","27647","C05956","3508","CCCCC[C@@H](/C=C/[C@H]1[C@H]2C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)OO2)OO","1"
"HMDB03247","20-Hydroxy-PGE2","HMDB0003247","5283034","137370",NA,"3814","C1[C@H]([C@@H]([C@H](C1=O)C/C=C\CCCC(=O)O)/C=C/[C@H](CCCCCO)O)O","1"
"HMDB04241","6-Ketoprostaglandin E1","HMDB0004241","5280889","28269","C05962","7036","CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CC(=O)CCCCC(=O)O)O)O","1"
"HMDB04242","11-Dehydro-thromboxane B2","HMDB0004242","53477781","28667","C05964","7037","CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC(=O)O1)O)C/C=C/CCCC(=O)O)O","1"
"HMDB05099","Thromboxane B3","HMDB0005099","6438711",NA,NA,NA,"CC/C=C/CC(/C=C/C1C(C(CC(O1)O)O)C/C=C/CCCC(=O)O)O","1"
"HMDB12110","5(6)-Epoxy Prostaglandin E1","HMDB0012110","53481368",NA,"C04741",NA,"CCCCC[C@@H](/C=C/[C@@H]1[C@H](CC(=O)[C@H]1CC2C(O2)CCCC(=O)O)O)O","1"
"HMDB03180","Cortol","HMDB0003180","246873","3898","C05482","3174","C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4([C@H](CO)O)O)C)O)O","1"
"HMDB05821","Beta-Cortol","HMDB0005821","246164",NA,"C01235",NA,"C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4([C@@H](CO)O)O)C)O)O","1"
"HMDB02003","Tetracosanoic acid","HMDB0002003","11197","28866","C08320","6427","CCCCCCCCCCCCCCCCCCCCCCCC(=O)O","1"
"HMDB12552","12-Oxo-20-hydroxy-leukotriene B4","HMDB0012552","53481459",NA,NA,NA,"C(CC/C=C\CC(=O)/C=C/C=C/C=C\[C@@H](CCCC(=O)O)O)CCO","1"
"HMDB12588","15-Epi-lipoxin B5","HMDB0012588","53481476",NA,NA,NA,"CC/C=C\C[C@H]([C@@H](/C=C/C=C/C=C\C=C\[C@@H](CCCC(=O)O)O)O)O","1"
"HMDB12590","15-Oxo-lipoxin A4","HMDB0012590","53481477",NA,NA,NA,"CCCCCC(=O)/C=C/C=C\C=C\C=C\[C@H]([C@@H](CCCC(=O)O)O)O","1"
"HMDB12641","20-oxo-leukotriene B4","HMDB0012641","6449839","63979",NA,NA,"C(CCC=O)C/C=C\C[C@H](/C=C/C=C/C=C\[C@H](CCCC(=O)O)O)O","1"
"HMDB13040","PGH3","HMDB0013040","101600091","15554","C00427",NA,"CC/C=C\C[C@H](/C=C/[C@H]1[C@H]2C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)OO2)O","1"
"HMDB02886","6-Keto-prostaglandin F1a","HMDB0002886","5280888","28158","C05961","6782","CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1CC(=O)CCCCC(=O)O)O)O)O","1"
"HMDB03252","Thromboxane B2","HMDB0003252","5283137","28728","C05963","422","CCCCC[C@@H](/C=C/[C@@H]1[C@H]([C@H](CC(O1)O)O)C/C=C\CCCC(=O)O)O","1"
"HMDB04049","20-Hydroxy-PGF2a","HMDB0004049","53477777",NA,NA,NA,"C1[C@@H](C(C([C@@H]1O)/C=C/[C@H](CCCCCO)O)C/C=C\CCCC(=O)O)O","1"
"HMDB00476","3-Oxo-4,6-choladienoic acid","HMDB0000476","5283992","88112",NA,"5463","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4=CC(=O)CC[C@]34C)C","1"
"HMDB00785","N-Acetyl-7-O-acetylneuraminic acid","HMDB0000785","12315523",NA,"C04016","5751","CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](OC(C)=O)[C@H](O)CO)C(O)=O","1"
"HMDB00794","N-Acetyl-9-O-acetylneuraminic acid","HMDB0000794","123962","21500",NA,"5759","CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)COC(C)=O)C(O)=O","1"
"HMDB00796","N-Acetyl-4-O-acetylneuraminic acid","HMDB0000796","440197","32844","C04015","5761","CC(=O)N[C@@H]1[C@H](C[C@](O)(O[C@H]1C(O)C(O)CO)C(O)=O)OC(C)=O","1"
"HMDB04448","Estradiol-17beta 3-sulfate","HMDB0004448","53477783","4866","C08357",NA,"C[C@@]12CCC3C(C1CC[C@H]2O)CCC4=C3C=CC(=C4)OS(=O)(=O)O","1"
"HMDB05789","Tetrahydrocurcumin","HMDB0005789","124072","67263",NA,NA,"COC1=CC(CCC(=O)CC(=O)CCC2=CC(OC)=C(O)C=C2)=CC=C1O","1"
"HMDB13627","Cervonoyl ethanolamide","HMDB0013627","53245830","34488","C13828",NA,"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCCO","1"
"HMDB11651","11beta,20-Dihydroxy-3-oxopregn-4-en-21-oic acid","HMDB0011651","53481011",NA,NA,NA,"C[C@]12CCC(=O)C=C1CCC3C2[C@H](C[C@]4(C3CCC4C(=O)CC(=O)O)C)O","1"
"HMDB06472","Calcitroic acid","HMDB0006472","12918533",NA,NA,NA,"C[C@H](CC(=O)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C\3/C[C@H](C[C@@H](C3=C)O)O)C","1"
"HMDB00308","3b-Hydroxy-5-cholenoic acid","HMDB0000308","92997","384794",NA,"5297","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C","1"
"HMDB00332","18-Oxocortisol","HMDB0000332","44263344","89213",NA,"5321","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@]4(C(=O)CO)O)C=O)O","1"
"HMDB11550","MG(0:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","HMDB0011550","11660820",NA,NA,NA,"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC(CO)CO","1"
"HMDB11580","MG(20:5(5Z,8Z,11Z,14Z,17Z)/0:0/0:0)","HMDB0011580","53480988",NA,NA,NA,"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](CO)O","1"
"HMDB04666","2-Arachidonylglycerol","HMDB0004666","5282280","52392","C13856",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC(CO)CO","1"
"HMDB11549","MG(0:0/20:4(8Z,11Z,14Z,17Z)/0:0)","HMDB0011549","44422842",NA,NA,NA,"CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC(CO)CO","1"
"HMDB11578","MG(20:4(5Z,8Z,11Z,14Z)/0:0/0:0)","HMDB0011578","16019980","34071",NA,NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](CO)O","1"
"HMDB11579","MG(20:4(8Z,11Z,14Z,17Z)/0:0/0:0)","HMDB0011579","53480987",NA,NA,NA,"CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](CO)O","1"
"HMDB01066","S-Lactoylglutathione","HMDB0001066","440018","15694","C03451","5979","C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O","1"
"HMDB00277","Sphingosine 1-phosphate","HMDB0000277","5353956","392583","C06124","5272","CCCCCCCCCCCCC/C=C/C(C(COP(=O)(O)O)N)O","1"
"HMDB02082","Bisnorcholic acid","HMDB0002082","9547705",NA,NA,NA,"C[C@@H]([C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C)C(=O)O","1"
"HMDB00768","N-Acetyl-9-O-lactoylneuraminic acid","HMDB0000768","192236",NA,NA,"5735","CC(O)C(=O)OC[C@@H](O)[C@@H](O)[C@@H]1O[C@@](O)(C[C@H](O)[C@H]1NC(C)=O)C(O)=O","1"
"HMDB01929","Levofloxacin","HMDB0001929","149096","63598","C07660",NA,"C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1","1"
"HMDB11544","MG(0:0/20:2(11Z,14Z)/0:0)","HMDB0011544","53480964",NA,NA,NA,"CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC(CO)CO","1"
"HMDB11574","MG(20:2(11Z,14Z)/0:0/0:0)","HMDB0011574","53480983",NA,NA,NA,"CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@H](CO)O","1"
"HMDB01093","5a-Cholesta-8,24-dien-3-one","HMDB0001093","22833560",NA,NA,"5999","C[C@H](CCC=C(C)C)[C@H]1CC[C@@H]2[C@@]1(CCC3=C2CCC4[C@@]3(CCC(=O)C4)C)C","1"
"HMDB02394","Cholesta-4,6-dien-3-one","HMDB0002394","3034666","205734",NA,"6663","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4=CC(=O)CC[C@]34C)C","1"
"HMDB03896","7-Dehydrodesmosterol","HMDB0003896","440558","27910","C05107",NA,"C[C@H](CCC=C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C","1"
"HMDB02361","Pentacosanoic acid","HMDB0002361","10468","39420",NA,"4209","CCCCCCCCCCCCCCCCCCCCCCCCC(=O)O","1"
"HMDB00912","Succinyladenosine","HMDB0000912","20849086","71169",NA,"5867","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N[C@@H](CC(O)=O)C(O)=O)N=CN=C12","1"
"HMDB01542","N-Acetyllactosamine","HMDB0001542","439271","16153","C00611","4231","CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O","1"
"HMDB06535","Beta-1,4-mannose-N-acetylglucosamine","HMDB0006535","70698368","71553",NA,NA,"CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H]1O","1"
"HMDB06575","Lacto-N-biose I","HMDB0006575","5288905","27707","C06372",NA,"CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O","1"
"HMDB06583","Poly-N-acetyllactosamine","HMDB0006583","119547",NA,NA,"4231","CC(=O)N[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O","1"
"HMDB13332","3-Hydroxy-5, 8-tetradecadiencarnitine","HMDB0013332","53481683","89747",NA,NA,"CCCCC\C=C/C\C=C/C[C@@H](O)CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"HMDB00939","S-Adenosylhomocysteine","HMDB0000939","439155","16680","C00021","296","N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O","1"
