,T_AKAP9,T_AMER1,T_APC,T_ARID2,T_BCOR,T_BMP5,T_CACNA1D,T_CARD11,T_CHD2,T_CLP1,T_CREBBP,T_CRNKL1,T_CSMD3,T_DCTN1,T_DDX10,T_DNMT3A,T_EGFR,T_ELN,T_EP300,T_FANCA,T_HIST1H3B,T_KAT6B,T_KMT2C,T_KMT2D,T_LARP4B,T_MACC1,T_MAP3K1,T_MTOR,T_MUTYH,T_NACA,T_NBN,T_NCOR2,T_NSD1,T_PCM1,T_PDE4DIP,T_PIK3R1,T_PML,T_PTEN,T_PTPN13,T_RB1,T_RECQL4,T_STAG2,T_TAF15,T_VTI1A
11,-1.5830000000000002,1.944,-2.404,1.5830000000000002,-1.5830000000000002,-1.5830000000000002,-2.404,-2.404,-1.5830000000000002,-1.5830000000000002,1.5830000000000002,1.5830000000000002,2.309,1.5830000000000002,1.5830000000000002,1.944,1.944,1.5830000000000002,1.5830000000000002,-1.5830000000000002,-1.5830000000000002,1.944,1.944,1.944,1.5830000000000002,1.5830000000000002,-1.5830000000000002,-2.404,-1.5830000000000002,-1.5830000000000002,-2.404,-1.5830000000000002,-2.404,1.944,-1.5830000000000002,1.5830000000000002,1.5830000000000002,-1.5830000000000002,1.5830000000000002,-2.404,-1.5830000000000002,-2.404,-1.5830000000000002,1.944
12,1.094,0.0,1.5930000000000002,-1.094,1.094,1.094,1.5930000000000002,1.5930000000000002,1.094,1.094,-1.094,-1.094,-2.487,-1.094,-1.094,0.0,0.0,-1.094,-1.094,1.094,1.094,0.0,0.0,0.0,-1.094,-1.094,1.094,1.5930000000000002,1.094,1.094,1.5930000000000002,1.094,1.5930000000000002,0.0,1.094,-1.094,-1.094,1.094,-1.094,1.5930000000000002,1.094,1.5930000000000002,1.094,0.0
13,-0.5820000000000001,1.806,-1.6480000000000001,0.5820000000000001,-0.5820000000000001,-0.5820000000000001,-1.6480000000000001,-1.6480000000000001,-0.5820000000000001,-0.5820000000000001,0.5820000000000001,0.5820000000000001,-1.982,0.5820000000000001,0.5820000000000001,1.806,1.806,0.5820000000000001,0.5820000000000001,-0.5820000000000001,-0.5820000000000001,1.806,1.806,1.806,0.5820000000000001,0.5820000000000001,-0.5820000000000001,-1.6480000000000001,-0.5820000000000001,-0.5820000000000001,-1.6480000000000001,-0.5820000000000001,-1.6480000000000001,1.806,-0.5820000000000001,0.5820000000000001,0.5820000000000001,-0.5820000000000001,0.5820000000000001,-1.6480000000000001,-0.5820000000000001,-1.6480000000000001,-0.5820000000000001,1.806
14,-0.643,2.461,0.9009999999999999,0.643,-0.643,-0.643,0.9009999999999999,0.9009999999999999,-0.643,-0.643,0.643,0.643,-1.005,0.643,0.643,2.461,2.461,0.643,0.643,-0.643,-0.643,2.461,2.461,2.461,0.643,0.643,-0.643,0.9009999999999999,-0.643,-0.643,0.9009999999999999,-0.643,0.9009999999999999,2.461,-0.643,0.643,0.643,-0.643,0.643,0.9009999999999999,-0.643,0.9009999999999999,-0.643,2.461
15,1.607,3.215,-0.563,-1.607,1.607,1.607,-0.563,-0.563,1.607,1.607,-1.607,-1.607,1.473,-1.607,-1.607,3.215,3.215,-1.607,-1.607,1.607,1.607,3.215,3.215,3.215,-1.607,-1.607,1.607,-0.563,1.607,1.607,-0.563,1.607,-0.563,3.215,1.607,-1.607,-1.607,1.607,-1.607,-0.563,1.607,-0.563,1.607,3.215
16,0.05,0.0,1.062,-0.05,0.05,0.05,1.062,1.062,0.05,0.05,-0.05,-0.05,-0.081,-0.05,-0.05,0.0,0.0,-0.05,-0.05,0.05,0.05,0.0,0.0,0.0,-0.05,-0.05,0.05,1.062,0.05,0.05,1.062,0.05,1.062,0.0,0.05,-0.05,-0.05,0.05,-0.05,1.062,0.05,1.062,0.05,0.0
17,3.4160000000000004,-4.127,-3.773,-3.4160000000000004,3.4160000000000004,3.4160000000000004,-3.773,-3.773,3.4160000000000004,3.4160000000000004,-3.4160000000000004,-3.4160000000000004,-3.782,-3.4160000000000004,-3.4160000000000004,-4.127,-4.127,-3.4160000000000004,-3.4160000000000004,3.4160000000000004,3.4160000000000004,-4.127,-4.127,-4.127,-3.4160000000000004,-3.4160000000000004,3.4160000000000004,-3.773,3.4160000000000004,3.4160000000000004,-3.773,3.4160000000000004,-3.773,-4.127,3.4160000000000004,-3.4160000000000004,-3.4160000000000004,3.4160000000000004,-3.4160000000000004,-3.773,3.4160000000000004,-3.773,3.4160000000000004,-4.127
18,3.748,2.154,-1.139,-3.748,3.748,3.748,-1.139,-1.139,3.748,3.748,-3.748,-3.748,1.3030000000000002,-3.748,-3.748,2.154,2.154,-3.748,-3.748,3.748,3.748,2.154,2.154,2.154,-3.748,-3.748,3.748,-1.139,3.748,3.748,-1.139,3.748,-1.139,2.154,3.748,-3.748,-3.748,3.748,-3.748,-1.139,3.748,-1.139,3.748,2.154
19,1.469,1.6640000000000001,0.0,-1.469,1.469,1.469,0.0,0.0,1.469,1.469,-1.469,-1.469,-2.399,-1.469,-1.469,1.6640000000000001,1.6640000000000001,-1.469,-1.469,1.469,1.469,1.6640000000000001,1.6640000000000001,1.6640000000000001,-1.469,-1.469,1.469,0.0,1.469,1.469,0.0,1.469,0.0,1.6640000000000001,1.469,-1.469,-1.469,1.469,-1.469,0.0,1.469,0.0,1.469,1.6640000000000001
20,1.24,-1.8880000000000001,3.535,-1.24,1.24,1.24,3.535,3.535,1.24,1.24,-1.24,-1.24,-3.1639999999999997,-1.24,-1.24,-1.8880000000000001,-1.8880000000000001,-1.24,-1.24,1.24,1.24,-1.8880000000000001,-1.8880000000000001,-1.8880000000000001,-1.24,-1.24,1.24,3.535,1.24,1.24,3.535,1.24,3.535,-1.8880000000000001,1.24,-1.24,-1.24,1.24,-1.24,3.535,1.24,3.535,1.24,-1.8880000000000001
