,T_A1CF,T_ACVR1,T_AFF3,T_AFF4,T_AKT3,T_ALK,T_APC,T_ARHGAP5,T_ARHGEF12,T_ARID1A,T_ASXL1,T_ATM,T_AXIN1,T_BAP1,T_BCL10,T_BCL11A,T_BCL11B,T_BCL6,T_BCL7A,T_BCL9L,T_BCOR,T_BCORL1,T_BCR,T_BIRC6,T_BLM,T_BRCA1,T_BRIP1,T_BUB1B,T_CACNA1D,T_CALR,T_CAMTA1,T_CARD11,T_CARS,T_CASP3,T_CBFA2T3,T_CBL,T_CCND1,T_CCND2,T_CCR4,T_CD79A,T_CDH1,T_CDH10,T_CDK12,T_CDKN2A,T_CDX2,T_CHD4,T_CIC,T_CLIP1,T_CLTCL1,T_COL2A1,T_COL3A1,T_COX6C,T_CREB3L2,T_CREBBP,T_CRTC1,T_CSF3R,T_CSMD3,T_CTCF,T_CTNNA2,T_CUL3,T_CXCR4,T_CYLD,T_CYSLTR2,T_DCC,T_DDR2,T_DDX3X,T_DDX6,T_DICER1,T_DNAJB1,T_DNMT3A,T_DROSHA,T_EGFR,T_EIF3E,T_ELL,T_EP300,T_EPAS1,T_ERBB2,T_ERBB3,T_ERBB4,T_ERCC3,T_EWSR1,T_EZH2,T_FAM47C,T_FANCA,T_FANCG,T_FAT1,T_FAT4,T_FBXO11,T_FBXW7,T_FES,T_FGFR3,T_FLNA,T_FLT3,T_FOXP1,T_FOXR1,T_GATA1,T_GLI1,T_GNA11,T_GOPC,T_GRIN2A,T_HIST1H3B,T_HOXA9,T_HOXD11,T_HRAS,T_JAK1,T_JAK3,T_KDM5A,T_KDM6A,T_KEAP1,T_KMT2A,T_KMT2C,T_KMT2D,T_KRAS,T_LARP4B,T_LASP1,T_LCK,T_LIFR,T_LRIG3,T_LRP1B,T_LZTR1,T_MACC1,T_MAML2,T_MAP2K1,T_MAP2K2,T_MAP3K1,T_MAP3K13,T_MEN1,T_MLH1,T_MLLT3,T_MN1,T_MSH6,T_MTOR,T_MUC1,T_MUC16,T_MUC4,T_MUTYH,T_MYB,T_MYH11,T_MYO5A,T_N4BP2,T_NAB2,T_NCOA2,T_NCOR2,T_NF1,T_NF2,T_NFATC2,T_NFE2L2,T_NOTCH1,T_NOTCH2,T_NRAS,T_NRG1,T_NSD1,T_NUP214,T_PAFAH1B2,T_PALB2,T_PBRM1,T_PCBP1,T_PER1,T_PHOX2B,T_PIK3CB,T_PIK3R1,T_PMS1,T_PMS2,T_POLD1,T_POLE,T_POLQ,T_POT1,T_PPFIBP1,T_PPM1D,T_PREX2,T_PRKACA,T_PRKCB,T_PRPF40B,T_PTCH1,T_PTEN,T_PTPN13,T_PTPN6,T_PTPRC,T_PTPRK,T_RARA,T_RECQL4,T_RNF213,T_RNF43,T_ROS1,T_RPL22,T_SDHA,T_SDHAF2,T_SEPT9,T_SETD1B,T_SF3B1,T_SIRPA,T_SMARCA4,T_SPEN,T_SRSF3,T_STAT3,T_STAT6,T_STIL,T_TCF3,T_TCF7L2,T_TERT,T_THRAP3,T_TNFAIP3,T_TNFRSF17,T_TOP1,T_TP53,T_TPR,T_TRAF7,T_TRRAP,T_TSC1,T_TSC2,T_UBR5,T_USP6,T_ZFHX3,T_ZNF521
77,1.708,0.817,0.817,1.708,-3.545,0.817,1.708,1.708,1.708,1.708,-0.727,1.708,-2.379,1.708,-2.379,1.708,1.708,1.708,1.708,1.708,1.708,1.708,1.708,-2.379,1.708,1.708,-2.379,1.708,-2.379,1.708,-2.379,-3.545,1.708,1.708,1.708,-3.545,0.817,1.559,0.817,1.708,1.559,0.817,1.708,2.192,1.559,-2.379,-3.817,2.192,1.708,0.817,0.817,1.708,-3.545,1.708,1.708,1.708,-0.727,1.708,-3.545,0.817,1.708,1.708,1.708,-3.545,0.817,0.817,1.708,1.708,1.708,1.708,1.708,-1.148,0.817,1.708,1.708,-3.545,1.708,-3.817,1.708,1.708,1.708,0.817,0.817,-2.379,1.708,-3.817,1.708,1.708,0.817,1.708,1.708,1.708,-2.379,2.192,1.708,0.817,-2.379,1.708,-2.379,0.817,1.708,-3.545,-3.545,1.708,1.708,1.559,1.708,1.559,1.708,-2.379,0.817,-2.379,1.702,1.708,1.708,1.708,1.708,0.817,-2.379,1.708,0.817,0.817,1.708,1.708,3.431,1.708,1.708,0.817,1.708,-3.545,1.708,1.708,-0.578,-0.659,-2.379,1.559,1.708,-2.379,1.708,1.708,1.708,1.708,-2.379,0.817,1.708,0.817,-3.545,3.177,-2.379,3.665,1.708,0.817,1.708,1.559,-2.379,0.817,1.708,0.817,1.708,0.817,1.708,1.708,-2.379,1.708,1.708,1.559,1.708,1.708,0.817,1.708,1.708,-1.519,-2.379,1.559,1.708,-0.578,1.708,1.708,3.665,1.708,3.431,1.708,1.708,-3.817,1.708,0.817,1.708,1.708,1.708,1.708,0.817,1.708,-0.578,1.708,1.708,1.708,1.708,-0.578,0.817,1.708,1.708,1.708,1.708,1.708,0.647,1.708,1.708,-3.817,1.708,1.708,1.708,1.708,-3.545,1.559
78,-2.512,-0.452,-0.452,-2.512,-2.172,-0.452,-2.512,-2.512,-2.512,-2.512,-0.26,-2.512,2.419,-2.512,2.419,-2.512,-2.512,-2.512,-2.512,-2.512,-2.512,-2.512,-2.512,2.419,-2.512,-2.512,2.419,-2.512,2.419,-2.512,2.419,-2.172,-2.512,-2.512,-2.512,-2.172,-0.452,-2.907,-0.452,-2.512,-2.907,-0.452,-2.512,-3.854,-2.907,2.419,-2.388,-3.854,-2.512,-0.452,-0.452,-2.512,-2.172,-2.512,-2.512,-2.512,-0.26,-2.512,-2.172,-0.452,-2.512,-2.512,-2.512,-2.172,-0.452,-0.452,-2.512,-2.512,-2.512,-2.512,-2.512,0.73,-0.452,-2.512,-2.512,-2.172,-2.512,-2.388,-2.512,-2.512,-2.512,-0.452,-0.452,2.419,-2.512,-2.388,-2.512,-2.512,-0.452,-2.512,-2.512,-2.512,2.419,-3.854,-2.512,-0.452,2.419,-2.512,2.419,-0.452,-2.512,-2.172,-2.172,-2.512,-2.512,-2.907,-2.512,-2.907,-2.512,2.419,-0.452,2.419,-4.123,-2.512,-2.512,-2.512,-2.512,-0.452,2.419,-2.512,-0.452,-0.452,-2.512,-2.512,-1.71,-2.512,-2.512,-0.452,-2.512,-2.172,-2.512,-2.512,0,-4.248,2.419,-2.907,-2.512,2.419,-2.512,-2.512,-2.512,-2.512,2.419,-0.452,-2.512,-0.452,-2.172,2.622,2.419,-0.866,-2.512,-0.452,-2.512,-2.907,2.419,-0.452,-2.512,-0.452,-2.512,-0.452,-2.512,-2.512,2.419,-2.512,-2.512,-2.907,-2.512,-2.512,-0.452,-2.512,-2.512,-4.227,2.419,-2.907,-2.512,0,-2.512,-2.512,-0.866,-2.512,-1.71,-2.512,-2.512,-2.388,-2.512,-0.452,-2.512,-2.512,-2.512,-2.512,-0.452,-2.512,0,-2.512,-2.512,-2.512,-2.512,0,-0.452,-2.512,-2.512,-2.512,-2.512,-2.512,3.195,-2.512,-2.512,-2.388,-2.512,-2.512,-2.512,-2.512,-2.172,-2.907
79,4.344,4.199,4.199,4.344,-0.211,4.199,4.344,4.344,4.344,4.344,1.895,4.344,-4.048,4.344,-4.048,4.344,4.344,4.344,4.344,4.344,4.344,4.344,4.344,-4.048,4.344,4.344,-4.048,4.344,-4.048,4.344,-4.048,-0.211,4.344,4.344,4.344,-0.211,4.199,-4.654,4.199,4.344,-4.654,4.199,4.344,4.489,-4.654,-4.048,4.282,4.489,4.344,4.199,4.199,4.344,-0.211,4.344,4.344,4.344,1.895,4.344,-0.211,4.199,4.344,4.344,4.344,-0.211,4.199,4.199,4.344,4.344,4.344,4.344,4.344,-4.594,4.199,4.344,4.344,-0.211,4.344,4.282,4.344,4.344,4.344,4.199,4.199,-4.048,4.344,4.282,4.344,4.344,4.199,4.344,4.344,4.344,-4.048,4.489,4.344,4.199,-4.048,4.344,-4.048,4.199,4.344,-0.211,-0.211,4.344,4.344,-4.654,4.344,-4.654,4.344,-4.048,4.199,-4.048,1.373,4.344,4.344,4.344,4.344,4.199,-4.048,4.344,4.199,4.199,4.344,4.344,4.662,4.344,4.344,4.199,4.344,-0.211,4.344,4.344,4.699,2.934,-4.048,-4.654,4.344,-4.048,4.344,4.344,4.344,4.344,-4.048,4.199,4.344,4.199,-0.211,-1.208,-4.048,-1.165,4.344,4.199,4.344,-4.654,-4.048,4.199,4.344,4.199,4.344,4.199,4.344,4.344,-4.048,4.344,4.344,-4.654,4.344,4.344,4.199,4.344,4.344,3.598,-4.048,-4.654,4.344,4.699,4.344,4.344,-1.165,4.344,4.662,4.344,4.344,4.282,4.344,4.199,4.344,4.344,4.344,4.344,4.199,4.344,4.699,4.344,4.344,4.344,4.344,4.699,4.199,4.344,4.344,4.344,4.344,4.344,4.282,4.344,4.344,4.282,4.344,4.344,4.344,4.344,-0.211,-4.654
80,3.791,1.64,1.64,3.791,-0.622,1.64,3.791,3.791,3.791,3.791,4.509,3.791,-1.347,3.791,-1.347,3.791,3.791,3.791,3.791,3.791,3.791,3.791,3.791,-1.347,3.791,3.791,-1.347,3.791,-1.347,3.791,-1.347,-0.622,3.791,3.791,3.791,-0.622,1.64,2.959,1.64,3.791,2.959,1.64,3.791,1.546,2.959,-1.347,-1.308,1.546,3.791,1.64,1.64,3.791,-0.622,3.791,3.791,3.791,4.509,3.791,-0.622,1.64,3.791,3.791,3.791,-0.622,1.64,1.64,3.791,3.791,3.791,3.791,3.791,0.2,1.64,3.791,3.791,-0.622,3.791,-1.308,3.791,3.791,3.791,1.64,1.64,-1.347,3.791,-1.308,3.791,3.791,1.64,3.791,3.791,3.791,-1.347,1.546,3.791,1.64,-1.347,3.791,-1.347,1.64,3.791,-0.622,-0.622,3.791,3.791,2.959,3.791,2.959,3.791,-1.347,1.64,-1.347,-0.916,3.791,3.791,3.791,3.791,1.64,-1.347,3.791,1.64,1.64,3.791,3.791,4.495,3.791,3.791,1.64,3.791,-0.622,3.791,3.791,4.717,3.573,-1.347,2.959,3.791,-1.347,3.791,3.791,3.791,3.791,-1.347,1.64,3.791,1.64,-0.622,-0.467,-1.347,2.808,3.791,1.64,3.791,2.959,-1.347,1.64,3.791,1.64,3.791,1.64,3.791,3.791,-1.347,3.791,3.791,2.959,3.791,3.791,1.64,3.791,3.791,-0.517,-1.347,2.959,3.791,4.717,3.791,3.791,2.808,3.791,4.495,3.791,3.791,-1.308,3.791,1.64,3.791,3.791,3.791,3.791,1.64,3.791,4.717,3.791,3.791,3.791,3.791,4.717,1.64,3.791,3.791,3.791,3.791,3.791,-4.149,3.791,3.791,-1.308,3.791,3.791,3.791,3.791,-0.622,2.959
81,-3.88,-3.721,-3.721,-3.88,-2.581,-3.721,-3.88,-3.88,-3.88,-3.88,2.331,-3.88,2.766,-3.88,2.766,-3.88,-3.88,-3.88,-3.88,-3.88,-3.88,-3.88,-3.88,2.766,-3.88,-3.88,2.766,-3.88,2.766,-3.88,2.766,-2.581,-3.88,-3.88,-3.88,-2.581,-3.721,3.278,-3.721,-3.88,3.278,-3.721,-3.88,-2.502,3.278,2.766,3.756,-2.502,-3.88,-3.721,-3.721,-3.88,-2.581,-3.88,-3.88,-3.88,2.331,-3.88,-2.581,-3.721,-3.88,-3.88,-3.88,-2.581,-3.721,-3.721,-3.88,-3.88,-3.88,-3.88,-3.88,-2.219,-3.721,-3.88,-3.88,-2.581,-3.88,3.756,-3.88,-3.88,-3.88,-3.721,-3.721,2.766,-3.88,3.756,-3.88,-3.88,-3.721,-3.88,-3.88,-3.88,2.766,-2.502,-3.88,-3.721,2.766,-3.88,2.766,-3.721,-3.88,-2.581,-2.581,-3.88,-3.88,3.278,-3.88,3.278,-3.88,2.766,-3.721,2.766,-3.874,-3.88,-3.88,-3.88,-3.88,-3.721,2.766,-3.88,-3.721,-3.721,-3.88,-3.88,-1.3,-3.88,-3.88,-3.721,-3.88,-2.581,-3.88,-3.88,2.071,3.137,2.766,3.278,-3.88,2.766,-3.88,-3.88,-3.88,-3.88,2.766,-3.721,-3.88,-3.721,-2.581,-2.624,2.766,2.786,-3.88,-3.721,-3.88,3.278,2.766,-3.721,-3.88,-3.721,-3.88,-3.721,-3.88,-3.88,2.766,-3.88,-3.88,3.278,-3.88,-3.88,-3.721,-3.88,-3.88,2.25,2.766,3.278,-3.88,2.071,-3.88,-3.88,2.786,-3.88,-1.3,-3.88,-3.88,3.756,-3.88,-3.721,-3.88,-3.88,-3.88,-3.88,-3.721,-3.88,2.071,-3.88,-3.88,-3.88,-3.88,2.071,-3.721,-3.88,-3.88,-3.88,-3.88,-3.88,-0.285,-3.88,-3.88,3.756,-3.88,-3.88,-3.88,-3.88,-2.581,3.278
82,0,0.908,0.908,0,-2.164,0.908,0,0,0,0,0.522,0,-4.746,0,-4.746,0,0,0,0,0,0,0,0,-4.746,0,0,-4.746,0,-4.746,0,-4.746,-2.164,0,0,0,-2.164,0.908,-1.567,0.908,0,-1.567,0.908,0,0.612,-1.567,-4.746,0.526,0.612,0,0.908,0.908,0,-2.164,0,0,0,0.522,0,-2.164,0.908,0,0,0,-2.164,0.908,0.908,0,0,0,0,0,0.697,0.908,0,0,-2.164,0,0.526,0,0,0,0.908,0.908,-4.746,0,0.526,0,0,0.908,0,0,0,-4.746,0.612,0,0.908,-4.746,0,-4.746,0.908,0,-2.164,-2.164,0,0,-1.567,0,-1.567,0,-4.746,0.908,-4.746,0.742,0,0,0,0,0.908,-4.746,0,0.908,0.908,0,0,-1.137,0,0,0.908,0,-2.164,0,0,-4.625,4.409,-4.746,-1.567,0,-4.746,0,0,0,0,-4.746,0.908,0,0.908,-2.164,-0.47,-4.746,4.833,0,0.908,0,-1.567,-4.746,0.908,0,0.908,0,0.908,0,0,-4.746,0,0,-1.567,0,0,0.908,0,0,2.476,-4.746,-1.567,0,-4.625,0,0,4.833,0,-1.137,0,0,0.526,0,0.908,0,0,0,0,0.908,0,-4.625,0,0,0,0,-4.625,0.908,0,0,0,0,0,-0.722,0,0,0.526,0,0,0,0,-2.164,-1.567
83,4.803,-2.728,-2.728,4.803,-1.28,-2.728,4.803,4.803,4.803,4.803,-1.734,4.803,3.563,4.803,3.563,4.803,4.803,4.803,4.803,4.803,4.803,4.803,4.803,3.563,4.803,4.803,3.563,4.803,3.563,4.803,3.563,-1.28,4.803,4.803,4.803,-1.28,-2.728,0.684,-2.728,4.803,0.684,-2.728,4.803,0.511,0.684,3.563,0.295,0.511,4.803,-2.728,-2.728,4.803,-1.28,4.803,4.803,4.803,-1.734,4.803,-1.28,-2.728,4.803,4.803,4.803,-1.28,-2.728,-2.728,4.803,4.803,4.803,4.803,4.803,0,-2.728,4.803,4.803,-1.28,4.803,0.295,4.803,4.803,4.803,-2.728,-2.728,3.563,4.803,0.295,4.803,4.803,-2.728,4.803,4.803,4.803,3.563,0.511,4.803,-2.728,3.563,4.803,3.563,-2.728,4.803,-1.28,-1.28,4.803,4.803,0.684,4.803,0.684,4.803,3.563,-2.728,3.563,4.515,4.803,4.803,4.803,4.803,-2.728,3.563,4.803,-2.728,-2.728,4.803,4.803,0,4.803,4.803,-2.728,4.803,-1.28,4.803,4.803,1.434,0.256,3.563,0.684,4.803,3.563,4.803,4.803,4.803,4.803,3.563,-2.728,4.803,-2.728,-1.28,0.609,3.563,-1.519,4.803,-2.728,4.803,0.684,3.563,-2.728,4.803,-2.728,4.803,-2.728,4.803,4.803,3.563,4.803,4.803,0.684,4.803,4.803,-2.728,4.803,4.803,3.981,3.563,0.684,4.803,1.434,4.803,4.803,-1.519,4.803,0,4.803,4.803,0.295,4.803,-2.728,4.803,4.803,4.803,4.803,-2.728,4.803,1.434,4.803,4.803,4.803,4.803,1.434,-2.728,4.803,4.803,4.803,4.803,4.803,0.474,4.803,4.803,0.295,4.803,4.803,4.803,4.803,-1.28,0.684
84,-0.36,-2.426,-2.426,-0.36,2.832,-2.426,-0.36,-0.36,-0.36,-0.36,-1.724,-0.36,-1.17,-0.36,-1.17,-0.36,-0.36,-0.36,-0.36,-0.36,-0.36,-0.36,-0.36,-1.17,-0.36,-0.36,-1.17,-0.36,-1.17,-0.36,-1.17,2.832,-0.36,-0.36,-0.36,2.832,-2.426,0.284,-2.426,-0.36,0.284,-2.426,-0.36,2.697,0.284,-1.17,-1.037,2.697,-0.36,-2.426,-2.426,-0.36,2.832,-0.36,-0.36,-0.36,-1.724,-0.36,2.832,-2.426,-0.36,-0.36,-0.36,2.832,-2.426,-2.426,-0.36,-0.36,-0.36,-0.36,-0.36,-2.49,-2.426,-0.36,-0.36,2.832,-0.36,-1.037,-0.36,-0.36,-0.36,-2.426,-2.426,-1.17,-0.36,-1.037,-0.36,-0.36,-2.426,-0.36,-0.36,-0.36,-1.17,2.697,-0.36,-2.426,-1.17,-0.36,-1.17,-2.426,-0.36,2.832,2.832,-0.36,-0.36,0.284,-0.36,0.284,-0.36,-1.17,-2.426,-1.17,1.596,-0.36,-0.36,-0.36,-0.36,-2.426,-1.17,-0.36,-2.426,-2.426,-0.36,-0.36,-3.377,-0.36,-0.36,-2.426,-0.36,2.832,-0.36,-0.36,-2.141,0.445,-1.17,0.284,-0.36,-1.17,-0.36,-0.36,-0.36,-0.36,-1.17,-2.426,-0.36,-2.426,2.832,3.328,-1.17,-1.897,-0.36,-2.426,-0.36,0.284,-1.17,-2.426,-0.36,-2.426,-0.36,-2.426,-0.36,-0.36,-1.17,-0.36,-0.36,0.284,-0.36,-0.36,-2.426,-0.36,-0.36,-3.058,-1.17,0.284,-0.36,-2.141,-0.36,-0.36,-1.897,-0.36,-3.377,-0.36,-0.36,-1.037,-0.36,-2.426,-0.36,-0.36,-0.36,-0.36,-2.426,-0.36,-2.141,-0.36,-0.36,-0.36,-0.36,-2.141,-2.426,-0.36,-0.36,-0.36,-0.36,-0.36,-1.333,-0.36,-0.36,-1.037,-0.36,-0.36,-0.36,-0.36,2.832,0.284
85,-3.17,4.523,4.523,-3.17,-3.893,4.523,-3.17,-3.17,-3.17,-3.17,1.873,-3.17,4.84,-3.17,4.84,-3.17,-3.17,-3.17,-3.17,-3.17,-3.17,-3.17,-3.17,4.84,-3.17,-3.17,4.84,-3.17,4.84,-3.17,4.84,-3.893,-3.17,-3.17,-3.17,-3.893,4.523,0.856,4.523,-3.17,0.856,4.523,-3.17,-4.749,0.856,4.84,4.786,-4.749,-3.17,4.523,4.523,-3.17,-3.893,-3.17,-3.17,-3.17,1.873,-3.17,-3.893,4.523,-3.17,-3.17,-3.17,-3.893,4.523,4.523,-3.17,-3.17,-3.17,-3.17,-3.17,1.545,4.523,-3.17,-3.17,-3.893,-3.17,4.786,-3.17,-3.17,-3.17,4.523,4.523,4.84,-3.17,4.786,-3.17,-3.17,4.523,-3.17,-3.17,-3.17,4.84,-4.749,-3.17,4.523,4.84,-3.17,4.84,4.523,-3.17,-3.893,-3.893,-3.17,-3.17,0.856,-3.17,0.856,-3.17,4.84,4.523,4.84,0.946,-3.17,-3.17,-3.17,-3.17,4.523,4.84,-3.17,4.523,4.523,-3.17,-3.17,-0.118,-3.17,-3.17,4.523,-3.17,-3.893,-3.17,-3.17,-1.451,4.785,4.84,0.856,-3.17,4.84,-3.17,-3.17,-3.17,-3.17,4.84,4.523,-3.17,4.523,-3.893,-1.365,4.84,0.624,-3.17,4.523,-3.17,0.856,4.84,4.523,-3.17,4.523,-3.17,4.523,-3.17,-3.17,4.84,-3.17,-3.17,0.856,-3.17,-3.17,4.523,-3.17,-3.17,-2.321,4.84,0.856,-3.17,-1.451,-3.17,-3.17,0.624,-3.17,-0.118,-3.17,-3.17,4.786,-3.17,4.523,-3.17,-3.17,-3.17,-3.17,4.523,-3.17,-1.451,-3.17,-3.17,-3.17,-3.17,-1.451,4.523,-3.17,-3.17,-3.17,-3.17,-3.17,-4.475,-3.17,-3.17,4.786,-3.17,-3.17,-3.17,-3.17,-3.893,0.856
86,2.683,3.075,3.075,2.683,1.106,3.075,2.683,2.683,2.683,2.683,3.622,2.683,0,2.683,0,2.683,2.683,2.683,2.683,2.683,2.683,2.683,2.683,0,2.683,2.683,0,2.683,0,2.683,0,1.106,2.683,2.683,2.683,1.106,3.075,-1.264,3.075,2.683,-1.264,3.075,2.683,-1.559,-1.264,0,0.478,-1.559,2.683,3.075,3.075,2.683,1.106,2.683,2.683,2.683,3.622,2.683,1.106,3.075,2.683,2.683,2.683,1.106,3.075,3.075,2.683,2.683,2.683,2.683,2.683,2.191,3.075,2.683,2.683,1.106,2.683,0.478,2.683,2.683,2.683,3.075,3.075,0,2.683,0.478,2.683,2.683,3.075,2.683,2.683,2.683,0,-1.559,2.683,3.075,0,2.683,0,3.075,2.683,1.106,1.106,2.683,2.683,-1.264,2.683,-1.264,2.683,0,3.075,0,-2.783,2.683,2.683,2.683,2.683,3.075,0,2.683,3.075,3.075,2.683,2.683,-2.254,2.683,2.683,3.075,2.683,1.106,2.683,2.683,1.61,2.83,0,-1.264,2.683,0,2.683,2.683,2.683,2.683,0,3.075,2.683,3.075,1.106,3.879,0,-0.498,2.683,3.075,2.683,-1.264,0,3.075,2.683,3.075,2.683,3.075,2.683,2.683,0,2.683,2.683,-1.264,2.683,2.683,3.075,2.683,2.683,-0.458,0,-1.264,2.683,1.61,2.683,2.683,-0.498,2.683,-2.254,2.683,2.683,0.478,2.683,3.075,2.683,2.683,2.683,2.683,3.075,2.683,1.61,2.683,2.683,2.683,2.683,1.61,3.075,2.683,2.683,2.683,2.683,2.683,-2.282,2.683,2.683,0.478,2.683,2.683,2.683,2.683,1.106,-1.264
87,3.76,2.712,2.712,3.76,-2.156,2.712,3.76,3.76,3.76,3.76,-0.174,3.76,0.563,3.76,0.563,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,0.563,3.76,3.76,0.563,3.76,0.563,3.76,0.563,-2.156,3.76,3.76,3.76,-2.156,2.712,-2.758,2.712,3.76,-2.758,2.712,3.76,-2.051,-2.758,0.563,-1.155,-2.051,3.76,2.712,2.712,3.76,-2.156,3.76,3.76,3.76,-0.174,3.76,-2.156,2.712,3.76,3.76,3.76,-2.156,2.712,2.712,3.76,3.76,3.76,3.76,3.76,-2.933,2.712,3.76,3.76,-2.156,3.76,-1.155,3.76,3.76,3.76,2.712,2.712,0.563,3.76,-1.155,3.76,3.76,2.712,3.76,3.76,3.76,0.563,-2.051,3.76,2.712,0.563,3.76,0.563,2.712,3.76,-2.156,-2.156,3.76,3.76,-2.758,3.76,-2.758,3.76,0.563,2.712,0.563,-2.608,3.76,3.76,3.76,3.76,2.712,0.563,3.76,2.712,2.712,3.76,3.76,2.447,3.76,3.76,2.712,3.76,-2.156,3.76,3.76,-2.718,1.987,0.563,-2.758,3.76,0.563,3.76,3.76,3.76,3.76,0.563,2.712,3.76,2.712,-2.156,-1.093,0.563,1.356,3.76,2.712,3.76,-2.758,0.563,2.712,3.76,2.712,3.76,2.712,3.76,3.76,0.563,3.76,3.76,-2.758,3.76,3.76,2.712,3.76,3.76,-0.067,0.563,-2.758,3.76,-2.718,3.76,3.76,1.356,3.76,2.447,3.76,3.76,-1.155,3.76,2.712,3.76,3.76,3.76,3.76,2.712,3.76,-2.718,3.76,3.76,3.76,3.76,-2.718,2.712,3.76,3.76,3.76,3.76,3.76,-3.062,3.76,3.76,-1.155,3.76,3.76,3.76,3.76,-2.156,-2.758
88,4.117,-4.37,-4.37,4.117,3.718,-4.37,4.117,4.117,4.117,4.117,4.834,4.117,-4.264,4.117,-4.264,4.117,4.117,4.117,4.117,4.117,4.117,4.117,4.117,-4.264,4.117,4.117,-4.264,4.117,-4.264,4.117,-4.264,3.718,4.117,4.117,4.117,3.718,-4.37,2.787,-4.37,4.117,2.787,-4.37,4.117,4.49,2.787,-4.264,-2.08,4.49,4.117,-4.37,-4.37,4.117,3.718,4.117,4.117,4.117,4.834,4.117,3.718,-4.37,4.117,4.117,4.117,3.718,-4.37,-4.37,4.117,4.117,4.117,4.117,4.117,3.276,-4.37,4.117,4.117,3.718,4.117,-2.08,4.117,4.117,4.117,-4.37,-4.37,-4.264,4.117,-2.08,4.117,4.117,-4.37,4.117,4.117,4.117,-4.264,4.49,4.117,-4.37,-4.264,4.117,-4.264,-4.37,4.117,3.718,3.718,4.117,4.117,2.787,4.117,2.787,4.117,-4.264,-4.37,-4.264,4.507,4.117,4.117,4.117,4.117,-4.37,-4.264,4.117,-4.37,-4.37,4.117,4.117,-0.072,4.117,4.117,-4.37,4.117,3.718,4.117,4.117,-3.862,-0.802,-4.264,2.787,4.117,-4.264,4.117,4.117,4.117,4.117,-4.264,-4.37,4.117,-4.37,3.718,3.153,-4.264,1.176,4.117,-4.37,4.117,2.787,-4.264,-4.37,4.117,-4.37,4.117,-4.37,4.117,4.117,-4.264,4.117,4.117,2.787,4.117,4.117,-4.37,4.117,4.117,-2.651,-4.264,2.787,4.117,-3.862,4.117,4.117,1.176,4.117,-0.072,4.117,4.117,-2.08,4.117,-4.37,4.117,4.117,4.117,4.117,-4.37,4.117,-3.862,4.117,4.117,4.117,4.117,-3.862,-4.37,4.117,4.117,4.117,4.117,4.117,2.799,4.117,4.117,-2.08,4.117,4.117,4.117,4.117,3.718,2.787
89,0.222,-3.096,-3.096,0.222,4.097,-3.096,0.222,0.222,0.222,0.222,3.201,0.222,0.38,0.222,0.38,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.38,0.222,0.222,0.38,0.222,0.38,0.222,0.38,4.097,0.222,0.222,0.222,4.097,-3.096,4.397,-3.096,0.222,4.397,-3.096,0.222,0.489,4.397,0.38,4.311,0.489,0.222,-3.096,-3.096,0.222,4.097,0.222,0.222,0.222,3.201,0.222,4.097,-3.096,0.222,0.222,0.222,4.097,-3.096,-3.096,0.222,0.222,0.222,0.222,0.222,1.665,-3.096,0.222,0.222,4.097,0.222,4.311,0.222,0.222,0.222,-3.096,-3.096,0.38,0.222,4.311,0.222,0.222,-3.096,0.222,0.222,0.222,0.38,0.489,0.222,-3.096,0.38,0.222,0.38,-3.096,0.222,4.097,4.097,0.222,0.222,4.397,0.222,4.397,0.222,0.38,-3.096,0.38,3.89,0.222,0.222,0.222,0.222,-3.096,0.38,0.222,-3.096,-3.096,0.222,0.222,3.15,0.222,0.222,-3.096,0.222,4.097,0.222,0.222,-0.817,1.852,0.38,4.397,0.222,0.38,0.222,0.222,0.222,0.222,0.38,-3.096,0.222,-3.096,4.097,4.573,0.38,-2.101,0.222,-3.096,0.222,4.397,0.38,-3.096,0.222,-3.096,0.222,-3.096,0.222,0.222,0.38,0.222,0.222,4.397,0.222,0.222,-3.096,0.222,0.222,-3.289,0.38,4.397,0.222,-0.817,0.222,0.222,-2.101,0.222,3.15,0.222,0.222,4.311,0.222,-3.096,0.222,0.222,0.222,0.222,-3.096,0.222,-0.817,0.222,0.222,0.222,0.222,-0.817,-3.096,0.222,0.222,0.222,0.222,0.222,-1.723,0.222,0.222,4.311,0.222,0.222,0.222,0.222,4.097,4.397
