,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
2,GO:BP,GO:0060346,bone trabecula formation,0.0018896885182855656,True,"""The process of creating a trabecula in the bone. A trabecula is a tissue element in the form of a small beam, strut or rod."" [GOC:dph]",9,5,2,18117,0.4,0.2222222222222222,query_1,"['GO:0048705', 'GO:0060343', 'GO:0061430']"
3,GO:BP,GO:0061430,bone trabecula morphogenesis,0.0034632813450102915,True,"""The process of shaping a trabecula in bone. A trabecula is a tissue element in the form of a small beam, strut or rod."" [GOC:BHF, GOC:dph, GOC:vk]",12,5,2,18117,0.4,0.16666666666666666,query_1,['GO:0061383']
5,GO:BP,GO:0060343,trabecula formation,0.012108103188189395,True,"""The process of creating a trabecula in an organ. A trabecula is a small, often microscopic, tissue element in the form of a small beam, strut or rod, which generally has a mechanical function. Trabecula are usually but not necessarily, composed of dense collagenous tissue."" [GOC:dph]",22,5,2,18117,0.4,0.09090909090909091,query_1,"['GO:0009887', 'GO:0048646', 'GO:0061383']"
6,GO:BP,GO:0090025,regulation of monocyte chemotaxis,0.01838786676013856,True,"""Any process that modulates the frequency, rate, or extent of monocyte chemotaxis."" [GOC:dph, GOC:tb]",27,5,2,18117,0.4,0.07407407407407407,query_1,"['GO:0002548', 'GO:0002688', 'GO:0071675']"
9,GO:BP,GO:0061383,trabecula morphogenesis,0.04946516408618626,True,"""The process of shaping a trabecula in an organ. A trabecula is a small, often microscopic, tissue element in the form of a small beam, strut or rod, which generally has a mechanical function. Trabecula are usually but not necessarily, composed of dense collagenous tissue."" [GOC:dph]",44,5,2,18117,0.4,0.045454545454545456,query_1,['GO:0009653']
8,KEGG,KEGG:04670,Leukocyte transendothelial migration,0.027691314994308765,True,Leukocyte transendothelial migration,114,3,2,8001,1.6666666666666665,0.017543859649122806,query_1,['KEGG:00000']
