"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"DG(20:4(8Z,11Z,14Z,17Z)/16:0/0:0)","DG(20:4(8Z,11Z,14Z,17Z)/16:0/0:0)","HMDB0007533","53478311",NA,"CCCCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(22:4(7Z,10Z,13Z,16Z)/14:0/0:0)","DG(22:4(7Z,10Z,13Z,16Z)/14:0/0:0)","HMDB0007675","53478431",NA,"CCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC","1"
"Neuromedin N","Neuromedin N","HMDB0013022","53481583",NA,"CC[C@@H](C)[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N[C@H]([C@H](C)CC)C(=O)N[C@@H](CC(C)C)C(=O)O)N","1"
"CerP(d18:0/16:0)","CerP(d18:0/16:0)","HMDB0010698","5283582",NA,"CCCCCCCCCCCCCCC[C@H]([C@H](COP(=O)(O)O)NC(=O)CCCCCCCCCCCCCCC)O","1"
"Glycochenodeoxycholic acid 3-glucuronide","Glycochenodeoxycholic acid 3-glucuronide","HMDB0002579","53477753","C03033","C[C@H](CCC(=O)NCC(=O)O)C1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O)C)O)C","1"
"5-Tetradecenoic acid","5-Tetradecenoic acid","HMDB0000499","5282740",NA,"CCCCCCCC/C=C/CCCC(=O)O","1"
"5Z-Tetradecenoic acid","5Z-Tetradecenoic acid","HMDB0000521","5312400",NA,"CCCCCCCC/C=C\CCCC(=O)O","1"
"Myristoleic acid","Myristoleic acid","HMDB0002000","5281119","C08322","CCCC/C=C\CCCCCCCC(=O)O","1"
"Tsuzuic acid","Tsuzuic acid","HMDB0005051","5312399",NA,"CCCCCCCCC/C=C\CCC(=O)O","1"
"trans-Tetra-dec-2-enoic acid","trans-Tetra-dec-2-enoic acid","HMDB0010732","5282738",NA,"CCCCCCCCCCC/C=C/C(=O)O","1"
"PE(14:0/14:0)","PE(14:0/14:0)","HMDB0008821","9852308","C00350","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCC","1"
"PE(14:0/16:1(9Z))","PE(14:0/16:1(9Z))","HMDB0008825","52924945","C00350","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"PE(14:1(9Z)/16:0)","PE(14:1(9Z)/16:0)","HMDB0008857","52924132","C00350","CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)(O)OCCN","1"
"PE(16:0/14:1(9Z))","PE(16:0/14:1(9Z))","HMDB0008921","52924209","C00350","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCC","1"
"PE(16:1(9Z)/14:0)","PE(16:1(9Z)/14:0)","HMDB0008953","52924219","C00350","CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)(O)OCCN","1"
"3-Chlorotyrosine","3-Chlorotyrosine","HMDB0001885","119226",NA,"C1=CC(=C(C=C1CC(C(=O)O)N)Cl)O","1"
"Propenoylcarnitine","Propenoylcarnitine","HMDB0013124","53481611",NA,"C[N+](C)(C)C[C@H](CC(=O)[O-])OC(=O)C=C","1"
"N'-Formylkynurenine","N'-Formylkynurenine","HMDB0001200","910","C02406","C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)NC=O","1"
"DG(15:0/24:0/0:0)","DG(15:0/24:0/0:0)","HMDB0007093","53478022",NA,"CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCC","1"
"DG(24:0/15:0/0:0)","DG(24:0/15:0/0:0)","HMDB0007793","53478543",NA,"CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCCC","1"
"PE(14:1(9Z)/15:0)","PE(14:1(9Z)/15:0)","HMDB0008856","52924130","C00350","CCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)(O)OCCN","1"
"PE(15:0/14:1(9Z))","PE(15:0/14:1(9Z))","HMDB0008888","52924158","C00350","CCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCC","1"
"PE(14:0/P-18:1(11Z))","PE(14:0/P-18:1(11Z))","HMDB0008852","53479561","C00350","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O/C=C\CCCCCCCC/C=C\CCCCCC","1"
"PE(14:0/P-18:1(9Z))","PE(14:0/P-18:1(9Z))","HMDB0008853","53479562","C00350","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O/C=C\CCCCCC/C=C\CCCCCCCC","1"
"PE(14:1(9Z)/P-18:0)","PE(14:1(9Z)/P-18:0)","HMDB0008884","53479572","C00350","CCCCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)(O)OCCN","1"
"PE(16:1(9Z)/P-16:0)","PE(16:1(9Z)/P-16:0)","HMDB0008982","53479605","C00350","CCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)(O)OCCN","1"
"PE(P-16:0/16:1(9Z))","PE(P-16:0/16:1(9Z))","HMDB0011339","52925047",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"PE(P-18:0/14:1(9Z))","PE(P-18:0/14:1(9Z))","HMDB0011369","52925070",NA,"CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCC","1"
"PE(P-18:1(11Z)/14:0)","PE(P-18:1(11Z)/14:0)","HMDB0011401","53480861",NA,"CCCCCCCCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCC/C=C\CCCCCC)COP(=O)(O)OCCN","1"
"PE(P-18:1(9Z)/14:0)","PE(P-18:1(9Z)/14:0)","HMDB0011434","53480890",NA,"CCCCCCCCCCCCCC(=O)O[C@H](CO/C=C\CCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCCN","1"
"All-trans-heptaprenyl diphosphate","All-trans-heptaprenyl diphosphate","HMDB0012187","5280658","C04216","CC(=CCC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C)/C)/C)/C)C","1"
"Erythrohydrobupropion","Erythrohydrobupropion","HMDB0012227","445",NA,"CC(C(C1=CC(=CC=C1)Cl)O)NC(C)(C)C","1"
"PE(15:0/P-16:0)","PE(15:0/P-16:0)","HMDB0008916","53479583","C00350","CCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCCCCCCCCCCCCC)COP(=O)(O)OCCN","1"
"PE(P-16:0/15:0)","PE(P-16:0/15:0)","HMDB0011337","52925044",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCC","1"
"PE(14:0/18:3(6Z,9Z,12Z))","PE(14:0/18:3(6Z,9Z,12Z))","HMDB0008830","52924117","C00350","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC","1"
"PE(14:0/18:3(9Z,12Z,15Z))","PE(14:0/18:3(9Z,12Z,15Z))","HMDB0008831","52924942","C00350","CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC","1"
"PE(14:1(9Z)/18:2(9Z,12Z))","PE(14:1(9Z)/18:2(9Z,12Z))","HMDB0008862","52924139","C00350","CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)(O)OCCN","1"
"PE(18:2(9Z,12Z)/14:1(9Z))","PE(18:2(9Z,12Z)/14:1(9Z))","HMDB0009086","52924357","C00350","CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCC","1"
"PE(18:3(6Z,9Z,12Z)/14:0)","PE(18:3(6Z,9Z,12Z)/14:0)","HMDB0009118","52924382","C00350","CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN","1"
"PE(18:3(9Z,12Z,15Z)/14:0)","PE(18:3(9Z,12Z,15Z)/14:0)","HMDB0009151","52924413","C00350","CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCCN","1"
"Histidylproline diketopiperazine","Histidylproline diketopiperazine","HMDB0002053","65137",NA,"C1CCN2[C@@H](C1)C(=O)N[C@H](C2=O)CC3=CN=CN3","1"
"SM(d18:1/14:0)","SM(d18:1/14:0)","HMDB0012097","11433862",NA,"CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCC)O","1"
"PE(16:0/P-18:1(11Z))","PE(16:0/P-18:1(11Z))","HMDB0008951","53479594","C00350","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O/C=C\CCCCCCCC/C=C\CCCCCC","1"
"PE(16:0/P-18:1(9Z))","PE(16:0/P-18:1(9Z))","HMDB0008952","53479595","C00350","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O/C=C\CCCCCC/C=C\CCCCCCCC","1"
"PE(16:1(9Z)/P-18:0)","PE(16:1(9Z)/P-18:0)","HMDB0008983","53479606","C00350","CCCCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)(O)OCCN","1"
"PE(18:1(11Z)/P-16:0)","PE(18:1(11Z)/P-16:0)","HMDB0009048","53479646","C00350","CCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)COP(=O)(O)OCCN","1"
"PE(18:1(9Z)/P-16:0)","PE(18:1(9Z)/P-16:0)","HMDB0009081","53479657","C00350","CCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCCN","1"
"PEP-16:0/18:1(11Z))","PEP-16:0/18:1(11Z))","HMDB0011341","53480845",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCC/C=C\CCCCCC","1"
"PE(P-16:0/18:1(9Z))","PE(P-16:0/18:1(9Z))","HMDB0011342","52925128",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"PE(P-18:0/16:1(9Z))","PE(P-18:0/16:1(9Z))","HMDB0011372","52925074",NA,"CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"PE(P-18:1(11Z)/16:0)","PE(P-18:1(11Z)/16:0)","HMDB0011404","53480864",NA,"CCCCCCCCCCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCC/C=C\CCCCCC)COP(=O)(O)OCCN","1"
"PE(P-18:1(9Z)/16:0)","PE(P-18:1(9Z)/16:0)","HMDB0011437","53480893",NA,"CCCCCCCCCCCCCCCC(=O)O[C@H](CO/C=C\CCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCCN","1"
"PS(14:1(9Z)/16:1(9Z))","PS(14:1(9Z)/16:1(9Z))","HMDB0012344","52925225",NA,"CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)(O)OC[C@@H](C(=O)O)N","1"
"PS(16:1(9Z)/14:1(9Z))","PS(16:1(9Z)/14:1(9Z))","HMDB0012364","52925314",NA,"CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCC/C=C\CCCC","1"
"PC(15:0/P-16:0)","PC(15:0/P-16:0)","HMDB0007961","53478661","C00157","CCCCCCCCCCCCCC/C=C\OC(COC(=O)CCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PE(16:0/P-18:0)","PE(16:0/P-18:0)","HMDB0008950","53479593","C00350","CCCCCCCCCCCCCCCC/C=C\O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN","1"
"PE(18:0/P-16:0)","PE(18:0/P-16:0)","HMDB0009015","53479614","C00350","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O/C=C\CCCCCCCCCCCCCC","1"
"PE(P-16:0e/18:1(9Z))","PE(P-16:0e/18:1(9Z))","HMDB0011157","42607455",NA,"CCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"PC(P-16:0/15:0)","PC(P-16:0/15:0)","HMDB0011205","52923878",NA,"CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCC","1"
"PE(P-16:0/18:0)","PE(P-16:0/18:0)","HMDB0011340","52925051",NA,"CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCCCCCCCC)COP(=O)(O)OCCN","1"
"PE(P-18:0/16:0)","PE(P-18:0/16:0)","HMDB0011371","52925073",NA,"CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCC","1"
"DG(20:4(5Z,8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","DG(20:4(5Z,8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","HMDB0007527","9543946",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](CO)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(20:4(8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","DG(20:4(8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","HMDB0007556","53478334",NA,"CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](CO)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)","DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)","HMDB0007583","53478356",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@@H](CO)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","HMDB0007584","9543945",NA,"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@@H](CO)COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","DG(22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","HMDB0007723","53478476",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](CO)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","DG(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","HMDB0007752","53478505",NA,"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](CO)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","HMDB0007779","53478530",NA,"CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@@H](CO)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z)/0:0)","DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z)/0:0)","HMDB0007780","53478531",NA,"CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@@H](CO)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","1"
"Glucosamine-1P","Glucosamine-1P","HMDB0001109","9965052","C06156","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OP(=O)(O)O)N)O)O)O","1"
"Glucosamine 6-phosphate","Glucosamine 6-phosphate","HMDB0001254","439217","C00352","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)N)O)O)OP(=O)(O)O","1"
"L-beta-aspartyl-L-glutamic acid","L-beta-aspartyl-L-glutamic acid","HMDB0011164","25207301",NA,"C(CC(=O)O)C(C(=O)O)NC(=O)CC(C(=O)O)N","1"
